ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
60431,Illinois,Joliet,"Chicago-Naperville-Elgin, IL-IN",16980
60432,Illinois,Joliet,"Chicago-Naperville-Elgin, IL-IN",16980
60433,Illinois,Joliet,"Chicago-Naperville-Elgin, IL-IN",16980
60434,Illinois,Joliet,"Chicago-Naperville-Elgin, IL-IN",16980
60435,Illinois,Joliet,"Chicago-Naperville-Elgin, IL-IN",16980
60436,Illinois,Joliet,"Chicago-Naperville-Elgin, IL-IN",16980
60437,Illinois,Kinsman,"Chicago-Naperville-Elgin, IL-IN",16980
60438,Illinois,Lansing,"Chicago-Naperville-Elgin, IL-IN",16980
60439,Illinois,Lemont,"Chicago-Naperville-Elgin, IL-IN",16980
60440,Illinois,Bolingbrook,"Chicago-Naperville-Elgin, IL-IN",16980
60441,Illinois,Lockport,"Chicago-Naperville-Elgin, IL-IN",16980
60442,Illinois,Manhattan,"Chicago-Naperville-Elgin, IL-IN",16980
60443,Illinois,Matteson,"Chicago-Naperville-Elgin, IL-IN",16980
60444,Illinois,Mazon,"Chicago-Naperville-Elgin, IL-IN",16980
60445,Illinois,Midlothian,"Chicago-Naperville-Elgin, IL-IN",16980
60446,Illinois,Romeoville,"Chicago-Naperville-Elgin, IL-IN",16980
60447,Illinois,Minooka,"Chicago-Naperville-Elgin, IL-IN",16980
60448,Illinois,Mokena,"Chicago-Naperville-Elgin, IL-IN",16980
60449,Illinois,Monee,"Chicago-Naperville-Elgin, IL-IN",16980
60450,Illinois,Morris,"Chicago-Naperville-Elgin, IL-IN",16980
60451,Illinois,New Lenox,"Chicago-Naperville-Elgin, IL-IN",16980
60452,Illinois,Oak Forest,"Chicago-Naperville-Elgin, IL-IN",16980
60453,Illinois,Oak Lawn,"Chicago-Naperville-Elgin, IL-IN",16980
60454,Illinois,Oak Lawn,"Chicago-Naperville-Elgin, IL-IN",16980
60455,Illinois,Bridgeview,"Chicago-Naperville-Elgin, IL-IN",16980
60456,Illinois,Hometown,"Chicago-Naperville-Elgin, IL-IN",16980
60457,Illinois,Hickory Hills,"Chicago-Naperville-Elgin, IL-IN",16980
60458,Illinois,Justice,"Chicago-Naperville-Elgin, IL-IN",16980
60459,Illinois,Burbank,"Chicago-Naperville-Elgin, IL-IN",16980
60460,Illinois,Odell,"Pontiac, IL",38700
60461,Illinois,Olympia Fields,"Chicago-Naperville-Elgin, IL-IN",16980
60462,Illinois,Orland Park,"Chicago-Naperville-Elgin, IL-IN",16980
60463,Illinois,Palos Heights,"Chicago-Naperville-Elgin, IL-IN",16980
60464,Illinois,Palos Park,"Chicago-Naperville-Elgin, IL-IN",16980
60465,Illinois,Palos Hills,"Chicago-Naperville-Elgin, IL-IN",16980
60466,Illinois,Park Forest,"Chicago-Naperville-Elgin, IL-IN",16980
60467,Illinois,Orland Park,"Chicago-Naperville-Elgin, IL-IN",16980
60468,Illinois,Peotone,"Chicago-Naperville-Elgin, IL-IN",16980
60469,Illinois,Posen,"Chicago-Naperville-Elgin, IL-IN",16980
60470,Illinois,Ransom,"Ottawa, IL",36837
60471,Illinois,Richton Park,"Chicago-Naperville-Elgin, IL-IN",16980
60472,Illinois,Robbins,"Chicago-Naperville-Elgin, IL-IN",16980
60473,Illinois,South Holland,"Chicago-Naperville-Elgin, IL-IN",16980
60474,Illinois,South Wilmington,"Chicago-Naperville-Elgin, IL-IN",16980
60475,Illinois,Steger,"Chicago-Naperville-Elgin, IL-IN",16980
60476,Illinois,Thornton,"Chicago-Naperville-Elgin, IL-IN",16980
60477,Illinois,Tinley Park,"Chicago-Naperville-Elgin, IL-IN",16980
60478,Illinois,Country Club Hills,"Chicago-Naperville-Elgin, IL-IN",16980
60479,Illinois,Verona,"Chicago-Naperville-Elgin, IL-IN",16980
60480,Illinois,Willow Springs,"Chicago-Naperville-Elgin, IL-IN",16980
60481,Illinois,Wilmington,"Chicago-Naperville-Elgin, IL-IN",16980
60482,Illinois,Worth,"Chicago-Naperville-Elgin, IL-IN",16980
60484,Illinois,University Park,"Chicago-Naperville-Elgin, IL-IN",16980
60487,Illinois,Tinley Park,"Chicago-Naperville-Elgin, IL-IN",16980
60490,Illinois,Bolingbrook,"Chicago-Naperville-Elgin, IL-IN",16980
60491,Illinois,Homer Glen,"Chicago-Naperville-Elgin, IL-IN",16980
60499,Illinois,Bedford Park,"Chicago-Naperville-Elgin, IL-IN",16980
60501,Illinois,Summit Argo,"Chicago-Naperville-Elgin, IL-IN",16980
60502,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60503,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60504,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60505,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60506,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60507,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60510,Illinois,Batavia,"Chicago-Naperville-Elgin, IL-IN",16980
60511,Illinois,Big Rock,"Chicago-Naperville-Elgin, IL-IN",16980
60512,Illinois,Bristol,"Chicago-Naperville-Elgin, IL-IN",16980
60513,Illinois,Brookfield,"Chicago-Naperville-Elgin, IL-IN",16980
60514,Illinois,Clarendon Hills,"Chicago-Naperville-Elgin, IL-IN",16980
60515,Illinois,Downers Grove,"Chicago-Naperville-Elgin, IL-IN",16980
60516,Illinois,Downers Grove,"Chicago-Naperville-Elgin, IL-IN",16980
60517,Illinois,Woodridge,"Chicago-Naperville-Elgin, IL-IN",16980
60518,Illinois,Earlville,"Ottawa, IL",36837
60519,Illinois,Eola,"Chicago-Naperville-Elgin, IL-IN",16980
60520,Illinois,Hinckley,"Chicago-Naperville-Elgin, IL-IN",16980
60521,Illinois,Hinsdale,"Chicago-Naperville-Elgin, IL-IN",16980
60522,Illinois,Hinsdale,"Chicago-Naperville-Elgin, IL-IN",16980
60523,Illinois,Oak Brook,"Chicago-Naperville-Elgin, IL-IN",16980
60525,Illinois,La Grange,"Chicago-Naperville-Elgin, IL-IN",16980
60526,Illinois,La Grange Park,"Chicago-Naperville-Elgin, IL-IN",16980
60527,Illinois,Willowbrook,"Chicago-Naperville-Elgin, IL-IN",16980
60530,Illinois,Lee,"Dixon, IL",19940
60531,Illinois,Leland,"Ottawa, IL",36837
60532,Illinois,Lisle,"Chicago-Naperville-Elgin, IL-IN",16980
60534,Illinois,Lyons,"Chicago-Naperville-Elgin, IL-IN",16980
60536,Illinois,Millbrook,"Chicago-Naperville-Elgin, IL-IN",16980
60537,Illinois,Millington,"Ottawa, IL",36837
60538,Illinois,Montgomery,"Chicago-Naperville-Elgin, IL-IN",16980
60539,Illinois,Mooseheart,"Chicago-Naperville-Elgin, IL-IN",16980
60540,Illinois,Naperville,"Chicago-Naperville-Elgin, IL-IN",16980
60541,Illinois,Newark,"Chicago-Naperville-Elgin, IL-IN",16980
60542,Illinois,North Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60543,Illinois,Oswego,"Chicago-Naperville-Elgin, IL-IN",16980
60544,Illinois,Plainfield,"Chicago-Naperville-Elgin, IL-IN",16980
60545,Illinois,Plano,"Chicago-Naperville-Elgin, IL-IN",16980
60546,Illinois,Riverside,"Chicago-Naperville-Elgin, IL-IN",16980
60548,Illinois,Sandwich,"Chicago-Naperville-Elgin, IL-IN",16980
60549,Illinois,Serena,"Ottawa, IL",36837
60550,Illinois,Shabbona,"Chicago-Naperville-Elgin, IL-IN",16980
60551,Illinois,Sheridan,"Ottawa, IL",36837
60552,Illinois,Somonauk,"Ottawa, IL",36837
60553,Illinois,Steward,"Dixon, IL",19940
60554,Illinois,Sugar Grove,"Chicago-Naperville-Elgin, IL-IN",16980
60555,Illinois,Warrenville,"Chicago-Naperville-Elgin, IL-IN",16980
60556,Illinois,Waterman,"Chicago-Naperville-Elgin, IL-IN",16980
60557,Illinois,Wedron,"Ottawa, IL",36837
60558,Illinois,Western Springs,"Chicago-Naperville-Elgin, IL-IN",16980
60559,Illinois,Westmont,"Chicago-Naperville-Elgin, IL-IN",16980
60560,Illinois,Yorkville,"Chicago-Naperville-Elgin, IL-IN",16980
60561,Illinois,Darien,"Chicago-Naperville-Elgin, IL-IN",16980
60563,Illinois,Naperville,"Chicago-Naperville-Elgin, IL-IN",16980
60564,Illinois,Naperville,"Chicago-Naperville-Elgin, IL-IN",16980
60565,Illinois,Naperville,"Chicago-Naperville-Elgin, IL-IN",16980
60566,Illinois,Naperville,"Chicago-Naperville-Elgin, IL-IN",16980
60567,Illinois,Naperville,"Chicago-Naperville-Elgin, IL-IN",16980
60569,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60585,Illinois,Plainfield,"Chicago-Naperville-Elgin, IL-IN",16980
60586,Illinois,Plainfield,"Chicago-Naperville-Elgin, IL-IN",16980
60598,Illinois,Aurora,"Chicago-Naperville-Elgin, IL-IN",16980
60599,Illinois,Fox Valley,"Chicago-Naperville-Elgin, IL-IN",16980
60601,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60602,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60603,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60604,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60605,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60606,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60607,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60608,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60609,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60610,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60611,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60612,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60613,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60614,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60615,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60616,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60617,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60618,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60619,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60620,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60621,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60622,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60623,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60624,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60625,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60626,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60628,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60629,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60630,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60631,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60632,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60633,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60634,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60636,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60637,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60638,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60639,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60640,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60641,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60642,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60643,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60644,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60645,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60646,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60647,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60649,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60651,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60652,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60653,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60654,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60655,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60656,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60657,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60659,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60660,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60661,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60666,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60668,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60669,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60670,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60673,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60674,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60675,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60677,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60678,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60682,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60684,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60685,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60686,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60687,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60688,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60689,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60690,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60693,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60694,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60695,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60697,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60699,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60701,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN",16980
60706,Illinois,Harwood Heights,"Chicago-Naperville-Elgin, IL-IN",16980
60707,Illinois,Elmwood Park,"Chicago-Naperville-Elgin, IL-IN",16980
60712,Illinois,Lincolnwood,"Chicago-Naperville-Elgin, IL-IN",16980
60714,Illinois,Niles,"Chicago-Naperville-Elgin, IL-IN",16980
60803,Illinois,Alsip,"Chicago-Naperville-Elgin, IL-IN",16980
60804,Illinois,Cicero,"Chicago-Naperville-Elgin, IL-IN",16980
60805,Illinois,Evergreen Park,"Chicago-Naperville-Elgin, IL-IN",16980
60827,Illinois,Riverdale,"Chicago-Naperville-Elgin, IL-IN",16980
60901,Illinois,Kankakee,"Kankakee, IL",28100
60910,Illinois,Aroma Park,"Kankakee, IL",28100
60911,Illinois,Ashkum,,
60912,Illinois,Beaverville,,
60913,Illinois,Bonfield,"Kankakee, IL",28100
60914,Illinois,Bourbonnais,"Kankakee, IL",28100
60915,Illinois,Bradley,"Kankakee, IL",28100
60917,Illinois,Buckingham,"Kankakee, IL",28100
60918,Illinois,Buckley,,
60919,Illinois,Cabery,"Champaign-Urbana, IL",16580
60920,Illinois,Campus,"Pontiac, IL",38700
60921,Illinois,Chatsworth,"Pontiac, IL",38700
60922,Illinois,Chebanse,"Kankakee, IL",28100
60924,Illinois,Cissna Park,,
60926,Illinois,Claytonville,,
60927,Illinois,Clifton,,
60928,Illinois,Crescent City,,
60929,Illinois,Cullom,"Pontiac, IL",38700
60930,Illinois,Danforth,,
60931,Illinois,Donovan,,
60932,Illinois,East Lynn,"Danville, IL",19180
60933,Illinois,Elliott,"Champaign-Urbana, IL",16580
60934,Illinois,Emington,"Pontiac, IL",38700
60935,Illinois,Essex,"Kankakee, IL",28100
60936,Illinois,Gibson City,"Champaign-Urbana, IL",16580
60938,Illinois,Gilman,,
60939,Illinois,Goodwine,,
60940,Illinois,Grant Park,"Kankakee, IL",28100
60941,Illinois,Herscher,"Kankakee, IL",28100
60942,Illinois,Hoopeston,"Danville, IL",19180
60944,Illinois,Hopkins Park,"Kankakee, IL",28100
60945,Illinois,Iroquois,,
60946,Illinois,Kempton,"Champaign-Urbana, IL",16580
60948,Illinois,Loda,,
60949,Illinois,Ludlow,"Champaign-Urbana, IL",16580
60950,Illinois,Manteno,"Kankakee, IL",28100
60951,Illinois,Martinton,,
60952,Illinois,Melvin,"Champaign-Urbana, IL",16580
60953,Illinois,Milford,,
60954,Illinois,Momence,"Kankakee, IL",28100
60955,Illinois,Onarga,,
60956,Illinois,Papineau,,
60957,Illinois,Paxton,"Champaign-Urbana, IL",16580
60958,Illinois,Pembroke Township,"Kankakee, IL",28100
60959,Illinois,Piper City,"Champaign-Urbana, IL",16580
60960,Illinois,Rankin,"Danville, IL",19180
60961,Illinois,Reddick,"Kankakee, IL",28100
60962,Illinois,Roberts,"Champaign-Urbana, IL",16580
60963,Illinois,Rossville,"Danville, IL",19180
60964,Illinois,Saint Anne,"Kankakee, IL",28100
60966,Illinois,Sheldon,,
60967,Illinois,Stockland,,
60968,Illinois,Thawville,,
60969,Illinois,Union Hill,"Kankakee, IL",28100
60970,Illinois,Watseka,,
60973,Illinois,Wellington,,
60974,Illinois,Woodland,,
61001,Illinois,Apple River,,
61006,Illinois,Ashton,"Dixon, IL",19940
61007,Illinois,Baileyville,"Rochelle, IL",40300
61008,Illinois,Belvidere,"Rockford, IL",40420
61010,Illinois,Byron,"Rochelle, IL",40300
61011,Illinois,Caledonia,"Rockford, IL",40420
61012,Illinois,Capron,"Rockford, IL",40420
61013,Illinois,Cedarville,"Freeport, IL",23300
61014,Illinois,Chadwick,,
61015,Illinois,Chana,"Rochelle, IL",40300
61016,Illinois,Cherry Valley,"Rockford, IL",40420
61018,Illinois,Dakota,"Freeport, IL",23300
61019,Illinois,Davis,"Freeport, IL",23300
61020,Illinois,Davis Junction,"Rochelle, IL",40300
61021,Illinois,Dixon,"Dixon, IL",19940
61024,Illinois,Durand,"Rockford, IL",40420
61025,Illinois,East Dubuque,,
61027,Illinois,Eleroy,"Freeport, IL",23300
61028,Illinois,Elizabeth,,
61030,Illinois,Forreston,"Rochelle, IL",40300
61031,Illinois,Franklin Grove,"Dixon, IL",19940
61032,Illinois,Freeport,"Freeport, IL",23300
61036,Illinois,Galena,,
61037,Illinois,Galt,"Sterling, IL",44580
61038,Illinois,Garden Prairie,"Rockford, IL",40420
61039,Illinois,German Valley,"Freeport, IL",23300
61041,Illinois,Hanover,,
61042,Illinois,Harmon,"Dixon, IL",19940
61043,Illinois,Holcomb,"Rochelle, IL",40300
61044,Illinois,Kent,"Freeport, IL",23300
61046,Illinois,Lanark,,
61047,Illinois,Leaf River,"Rochelle, IL",40300
61048,Illinois,Lena,"Freeport, IL",23300
61049,Illinois,Lindenwood,"Rochelle, IL",40300
61050,Illinois,Mc Connell,"Freeport, IL",23300
61051,Illinois,Milledgeville,,
61052,Illinois,Monroe Center,"Rochelle, IL",40300
61053,Illinois,Mount Carroll,,
61054,Illinois,Mount Morris,"Rochelle, IL",40300
61057,Illinois,Nachusa,"Dixon, IL",19940
61059,Illinois,Nora,,
61060,Illinois,Orangeville,"Freeport, IL",23300
61061,Illinois,Oregon,"Rochelle, IL",40300
61062,Illinois,Pearl City,"Freeport, IL",23300
61063,Illinois,Pecatonica,"Rockford, IL",40420
61064,Illinois,Polo,"Rochelle, IL",40300
61065,Illinois,Poplar Grove,"Rockford, IL",40420
61067,Illinois,Ridott,"Freeport, IL",23300
61068,Illinois,Rochelle,"Rochelle, IL",40300
61070,Illinois,Rock City,"Freeport, IL",23300
61071,Illinois,Rock Falls,"Sterling, IL",44580
61072,Illinois,Rockton,"Rockford, IL",40420
61073,Illinois,Roscoe,"Rockford, IL",40420
61074,Illinois,Savanna,,
61075,Illinois,Scales Mound,,
61077,Illinois,Seward,"Rockford, IL",40420
61078,Illinois,Shannon,,
61079,Illinois,Shirland,"Rockford, IL",40420
61080,Illinois,South Beloit,"Rockford, IL",40420
61081,Illinois,Sterling,"Sterling, IL",44580
61084,Illinois,Stillman Valley,"Rochelle, IL",40300
61085,Illinois,Stockton,,
61087,Illinois,Warren,,
61088,Illinois,Winnebago,"Rockford, IL",40420
61089,Illinois,Winslow,"Freeport, IL",23300
61091,Illinois,Woosung,"Rochelle, IL",40300
61101,Illinois,Rockford,"Rockford, IL",40420
61102,Illinois,Rockford,"Rockford, IL",40420
61103,Illinois,Rockford,"Rockford, IL",40420
61104,Illinois,Rockford,"Rockford, IL",40420
61105,Illinois,Rockford,"Rockford, IL",40420
61107,Illinois,Rockford,"Rockford, IL",40420
61108,Illinois,Rockford,"Rockford, IL",40420
61109,Illinois,Rockford,"Rockford, IL",40420
61110,Illinois,Rockford,"Rockford, IL",40420
61111,Illinois,Loves Park,"Rockford, IL",40420
61112,Illinois,Rockford,"Rockford, IL",40420
61114,Illinois,Rockford,"Rockford, IL",40420
61115,Illinois,Machesney Park,"Rockford, IL",40420
61125,Illinois,Rockford,"Rockford, IL",40420
61126,Illinois,Rockford,"Rockford, IL",40420
61130,Illinois,Loves Park,"Rockford, IL",40420
61131,Illinois,Loves Park,"Rockford, IL",40420
61132,Illinois,Loves Park,"Rockford, IL",40420
61201,Illinois,Rock Island,"Davenport-Moline-Rock Island, IA-IL",19340
61204,Illinois,Rock Island,"Davenport-Moline-Rock Island, IA-IL",19340
61230,Illinois,Albany,"Sterling, IL",44580
61231,Illinois,Aledo,"Davenport-Moline-Rock Island, IA-IL",19340
61232,Illinois,Andalusia,"Davenport-Moline-Rock Island, IA-IL",19340
61233,Illinois,Andover,"Davenport-Moline-Rock Island, IA-IL",19340
61234,Illinois,Annawan,"Davenport-Moline-Rock Island, IA-IL",19340
61235,Illinois,Atkinson,"Davenport-Moline-Rock Island, IA-IL",19340
61236,Illinois,Barstow,"Davenport-Moline-Rock Island, IA-IL",19340
61237,Illinois,Buffalo Prairie,"Davenport-Moline-Rock Island, IA-IL",19340
61238,Illinois,Cambridge,"Davenport-Moline-Rock Island, IA-IL",19340
61239,Illinois,Carbon Cliff,"Davenport-Moline-Rock Island, IA-IL",19340
61240,Illinois,Coal Valley,"Davenport-Moline-Rock Island, IA-IL",19340
61241,Illinois,Colona,"Davenport-Moline-Rock Island, IA-IL",19340
61242,Illinois,Cordova,"Davenport-Moline-Rock Island, IA-IL",19340
61243,Illinois,Deer Grove,"Sterling, IL",44580
61244,Illinois,East Moline,"Davenport-Moline-Rock Island, IA-IL",19340
61250,Illinois,Erie,"Sterling, IL",44580
61251,Illinois,Fenton,"Sterling, IL",44580
61252,Illinois,Fulton,"Sterling, IL",44580
61254,Illinois,Geneseo,"Davenport-Moline-Rock Island, IA-IL",19340
61256,Illinois,Hampton,"Davenport-Moline-Rock Island, IA-IL",19340
61257,Illinois,Hillsdale,"Davenport-Moline-Rock Island, IA-IL",19340
61258,Illinois,Hooppole,"Davenport-Moline-Rock Island, IA-IL",19340
61259,Illinois,Illinois City,"Davenport-Moline-Rock Island, IA-IL",19340
61260,Illinois,Joy,"Davenport-Moline-Rock Island, IA-IL",19340
61261,Illinois,Lyndon,"Sterling, IL",44580
61262,Illinois,Lynn Center,"Davenport-Moline-Rock Island, IA-IL",19340
61263,Illinois,Matherville,"Davenport-Moline-Rock Island, IA-IL",19340
61264,Illinois,Milan,"Davenport-Moline-Rock Island, IA-IL",19340
61265,Illinois,Moline,"Davenport-Moline-Rock Island, IA-IL",19340
61266,Illinois,Moline,"Davenport-Moline-Rock Island, IA-IL",19340
61270,Illinois,Morrison,"Sterling, IL",44580
61272,Illinois,New Boston,"Davenport-Moline-Rock Island, IA-IL",19340
61273,Illinois,Orion,"Davenport-Moline-Rock Island, IA-IL",19340
61274,Illinois,Osco,"Davenport-Moline-Rock Island, IA-IL",19340
61275,Illinois,Port Byron,"Davenport-Moline-Rock Island, IA-IL",19340
61276,Illinois,Preemption,"Davenport-Moline-Rock Island, IA-IL",19340
61277,Illinois,Prophetstown,"Sterling, IL",44580
61278,Illinois,Rapids City,"Davenport-Moline-Rock Island, IA-IL",19340
61279,Illinois,Reynolds,"Davenport-Moline-Rock Island, IA-IL",19340
61281,Illinois,Sherrard,"Davenport-Moline-Rock Island, IA-IL",19340
61282,Illinois,Silvis,"Davenport-Moline-Rock Island, IA-IL",19340
61283,Illinois,Tampico,"Sterling, IL",44580
61284,Illinois,Taylor Ridge,"Davenport-Moline-Rock Island, IA-IL",19340
61285,Illinois,Thomson,,
61299,Illinois,Rock Island,"Davenport-Moline-Rock Island, IA-IL",19340
61301,Illinois,La Salle,"Ottawa, IL",36837
61310,Illinois,Amboy,"Dixon, IL",19940
61311,Illinois,Ancona,"Pontiac, IL",38700
61312,Illinois,Arlington,"Ottawa, IL",36837
61313,Illinois,Blackstone,"Pontiac, IL",38700
61314,Illinois,Buda,"Ottawa, IL",36837
61315,Illinois,Bureau,"Ottawa, IL",36837
61316,Illinois,Cedar Point,"Ottawa, IL",36837
61317,Illinois,Cherry,"Ottawa, IL",36837
61318,Illinois,Compton,"Dixon, IL",19940
61319,Illinois,Cornell,"Pontiac, IL",38700
61320,Illinois,Dalzell,"Ottawa, IL",36837
61321,Illinois,Dana,"Ottawa, IL",36837
61322,Illinois,Depue,"Ottawa, IL",36837
61323,Illinois,Dover,"Ottawa, IL",36837
61324,Illinois,Eldena,"Dixon, IL",19940
61325,Illinois,Grand Ridge,"Ottawa, IL",36837
61326,Illinois,Granville,"Ottawa, IL",36837
61327,Illinois,Hennepin,"Ottawa, IL",36837
61328,Illinois,Kasbeer,"Ottawa, IL",36837
61329,Illinois,Ladd,"Ottawa, IL",36837
61330,Illinois,La Moille,"Ottawa, IL",36837
61331,Illinois,Lee Center,"Dixon, IL",19940
61332,Illinois,Leonore,"Ottawa, IL",36837
61333,Illinois,Long Point,"Pontiac, IL",38700
61334,Illinois,Lostant,"Ottawa, IL",36837
61335,Illinois,Mc Nabb,"Ottawa, IL",36837
61336,Illinois,Magnolia,"Ottawa, IL",36837
61337,Illinois,Malden,"Ottawa, IL",36837
61338,Illinois,Manlius,"Ottawa, IL",36837
61340,Illinois,Mark,"Ottawa, IL",36837
61341,Illinois,Marseilles,"Ottawa, IL",36837
61342,Illinois,Mendota,"Ottawa, IL",36837
61344,Illinois,Mineral,"Ottawa, IL",36837
61345,Illinois,Neponset,"Ottawa, IL",36837
61346,Illinois,New Bedford,"Ottawa, IL",36837
61348,Illinois,Oglesby,"Ottawa, IL",36837
61349,Illinois,Ohio,"Ottawa, IL",36837
61350,Illinois,Ottawa,"Ottawa, IL",36837
61353,Illinois,Paw Paw,"Dixon, IL",19940
61354,Illinois,Peru,"Ottawa, IL",36837
61356,Illinois,Princeton,"Ottawa, IL",36837
61358,Illinois,Rutland,"Ottawa, IL",36837
61359,Illinois,Seatonville,"Ottawa, IL",36837
