ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
35180,Alabama,Warrior,"Birmingham, AL",13820
35181,Alabama,Watson,"Birmingham, AL",13820
35182,Alabama,Wattsville,"Birmingham, AL",13820
35183,Alabama,Weogufka,"Talladega-Sylacauga, AL",45180
35184,Alabama,West Blocton,"Birmingham, AL",13820
35185,Alabama,Westover,"Birmingham, AL",13820
35186,Alabama,Wilsonville,"Birmingham, AL",13820
35187,Alabama,Wilton,"Birmingham, AL",13820
35188,Alabama,Woodstock,"Birmingham, AL",13820
35201,Alabama,Birmingham,"Birmingham, AL",13820
35202,Alabama,Birmingham,"Birmingham, AL",13820
35203,Alabama,Birmingham,"Birmingham, AL",13820
35204,Alabama,Birmingham,"Birmingham, AL",13820
35205,Alabama,Birmingham,"Birmingham, AL",13820
35206,Alabama,Birmingham,"Birmingham, AL",13820
35207,Alabama,Birmingham,"Birmingham, AL",13820
35208,Alabama,Birmingham,"Birmingham, AL",13820
35209,Alabama,Birmingham,"Birmingham, AL",13820
35210,Alabama,Birmingham,"Birmingham, AL",13820
35211,Alabama,Birmingham,"Birmingham, AL",13820
35212,Alabama,Birmingham,"Birmingham, AL",13820
35213,Alabama,Birmingham,"Birmingham, AL",13820
35214,Alabama,Birmingham,"Birmingham, AL",13820
35215,Alabama,Birmingham,"Birmingham, AL",13820
35216,Alabama,Birmingham,"Birmingham, AL",13820
35217,Alabama,Birmingham,"Birmingham, AL",13820
35218,Alabama,Birmingham,"Birmingham, AL",13820
35219,Alabama,Birmingham,"Birmingham, AL",13820
35220,Alabama,Birmingham,"Birmingham, AL",13820
35221,Alabama,Birmingham,"Birmingham, AL",13820
35222,Alabama,Birmingham,"Birmingham, AL",13820
35223,Alabama,Birmingham,"Birmingham, AL",13820
35224,Alabama,Birmingham,"Birmingham, AL",13820
35226,Alabama,Birmingham,"Birmingham, AL",13820
35228,Alabama,Birmingham,"Birmingham, AL",13820
35229,Alabama,Birmingham,"Birmingham, AL",13820
35231,Alabama,Birmingham,"Birmingham, AL",13820
