County,State,State Abbreviation,County Population,FIPS - County Code,County Name Fragment,County % of State Population,State Population
Denali Borough||| (created after 1990),Alaska,AK,2029,02068,denali-borough|||-(created-after-1990)-ak,0.002741399180958017,740133
Dillingham Census Area,Alaska,AK,4780,02070,dillingham-census-area-ak,0.006458298711177586,740133
Fairbanks North Star Borough,Alaska,AK,95555,02090,fairbanks-north-star-borough-ak,0.12910517434028748,740133
Haines Borough,Alaska,AK,2077,02100,haines-borough-ak,0.0028062523897731894,740133
Hoonah–Angoon Census Area,Alaska,AK,2313,02105,hoonah–angoon-census-area-ak,0.0031251139997811204,740133
Juneau Borough,Alaska,AK,31969,02110,juneau-borough-ak,0.04319358817942181,740133
Kenai Peninsula Borough,Alaska,AK,59843,02122,kenai-peninsula-borough-ak,0.08085438698179921,740133
Ketchikan Gateway Borough,Alaska,AK,13870,02130,ketchikan-gateway-borough-ak,0.01873987513055086,740133
Kodiak Island Borough,Alaska,AK,12878,02150,kodiak-island-borough-ak,0.017399575481703965,740133
Kusilvak Census Area,Alaska,AK,8277,02158,kusilvak-census-area-ak,0.011183125195066292,740133
Lake and Peninsula Borough,Alaska,AK,1007,02164,lake-and-peninsula-borough-ak,0.0013605662766016378,740133
Matanuska-Susitna Borough,Alaska,AK,110677,02170,matanuska-susitna-borough-ak,0.14953663733410077,740133
Nome Census Area,Alaska,AK,9925,02180,nome-census-area-ak,0.013409752031053879,740133
North Slope Borough,Alaska,AK,10891,02185,north-slope-borough-ak,0.014714922858459222,740133
Northwest Arctic Borough,Alaska,AK,7611,02188,northwest-arctic-borough-ak,0.010283286922755775,740133
Petersburg Borough,Alaska,AK,3394,02195,petersburg-borough-ak,0.004585662306639482,740133
Prince of Wales – Hyder Census Area,Alaska,AK,5730,02198,prince-of-wales-–-hyder-census-area-ak,0.007741851802311206,740133
Prince of Wales-Outer Ketchikan Census Area,Alaska,AK,,02201,prince-of-wales-outer-ketchikan-census-area-ak,,740133
Sitka Borough,Alaska,AK,8393,02220,sitka-borough-ak,0.011339853783036292,740133
"Sitka, City and Borough",Alaska,AK,1308,02230,"sitka,-city-and-borough-ak",0.0017672499402134481,740133
Skagway-Yakutat-Angoon Census Area| (1990 Census Area),Alaska,AK,,02231,skagway-yakutat-angoon-census-area|-(1990-census-area)-ak,,740133
Skagway-Hoonah-Angoon Census Area|  (created after 1990),Alaska,AK,,02232,skagway-hoonah-angoon-census-area|--(created-after-1990)-ak,,740133
Southeast Fairbanks Census Area,Alaska,AK,6936,02240,southeast-fairbanks-census-area-ak,0.009371288673792413,740133
Valdez-Cordova Census Area,Alaska,AK,,02261,valdez-cordova-census-area-ak,,740133
Wade Hampton Census Area,Alaska,AK,,02270,wade-hampton-census-area-ak,,740133
"Wrangell, City and Borough",Alaska,AK,2106,02275,"wrangell,-city-and-borough-ak",0.0028454345367656896,740133
Wrangell-Petersburg Census Area,Alaska,AK,,02280,wrangell-petersburg-census-area-ak,,740133
Yakutat Borough,Alaska,AK,506,02282,yakutat-borough-ak,0.0006836609095932758,740133
Yukon-Koyukuk Census Area,Alaska,AK,5271,02290,yukon-koyukuk-census-area-ak,0.0071216929930161205,740133
Apache County,Arizona,AZ,65680,04001,apache-county-az,0.008662183292220495,7582384
Cochise County,Arizona,AZ,125458,04003,cochise-county-az,0.016545983426848338,7582384
Coconino County,Arizona,AZ,144643,04005,coconino-county-az,0.019076190285271757,7582384
Gila County,Arizona,AZ,53610,04007,gila-county-az,0.007070335662240267,7582384
Graham County,Arizona,AZ,38860,04009,graham-county-az,0.005125037191469069,7582384
Greenlee County,Arizona,AZ,9452,04011,greenlee-county-az,0.001246573636998601,7582384
La Paz County,Arizona,AZ,16605,04012,la-paz-county-az,0.0021899444818410676,7582384
Maricopa County,Arizona,AZ,4491987,04013,maricopa-county-az,0.5924240977507865,7582384
Mohave County,Arizona,AZ,217420,04015,mohave-county-az,0.02867435888237789,7582384
Navajo County,Arizona,AZ,107744,04017,navajo-county-az,0.014209778876933693,7582384
Pima County,Arizona,AZ,1049947,04019,pima-county-az,0.1384718843044615,7582384
Pinal County,Arizona,AZ,449219,04021,pinal-county-az,0.05924508703331301,7582384
Santa Cruz County,Arizona,AZ,48209,04023,santa-cruz-county-az,0.006358026710332793,7582384
Yavapai County,Arizona,AZ,241656,04025,yavapai-county-az,0.03187071506797862,7582384
Yuma County,Arizona,AZ,207685,04027,yuma-county-az,0.0273904618916689,7582384
Arkansas County,Arkansas,AR,16773,05001,arkansas-county-ar,0.005431048383702127,3088354
Ashley County,Arkansas,AR,18722,05003,ashley-county-ar,0.00606212888807436,3088354
Baxter County,Arkansas,AR,42150,05005,baxter-county-ar,0.013648046823647807,3088354
Benton County,Arkansas,AR,294541,05007,benton-county-ar,0.09537151505300234,3088354
Boone County,Arkansas,AR,37896,05009,boone-county-ar,0.012270614055254028,3088354
Bradley County,Arkansas,AR,10354,05011,bradley-county-ar,0.003352594942160128,3088354
Calhoun County,Arkansas,AR,4717,05013,calhoun-county-ar,0.0015273508153534213,3088354
Carroll County,Arkansas,AR,28526,05015,carroll-county-ar,0.00923663543751785,3088354
Chicot County,Arkansas,AR,9997,05017,chicot-county-ar,0.0032369993854331467,3088354
Clark County,Arkansas,AR,21378,05019,clark-county-ar,0.0069221339263568875,3088354
Clay County,Arkansas,AR,14399,05021,clay-county-ar,0.004662354121321584,3088354
Cleburne County,Arkansas,AR,25048,05023,cleburne-county-ar,0.008110469201393364,3088354
Cleveland County,Arkansas,AR,7491,05025,cleveland-county-ar,0.0024255639088006102,3088354
Columbia County,Arkansas,AR,22527,05027,columbia-county-ar,0.007294176768595828,3088354
Conway County,Arkansas,AR,20872,05029,conway-county-ar,0.006758292605057581,3088354
Craighead County,Arkansas,AR,112097,05031,craighead-county-ar,0.0362966810151945,3088354
Crawford County,Arkansas,AR,60792,05033,crawford-county-ar,0.019684271945508838,3088354
Crittenden County,Arkansas,AR,47609,05035,crittenden-county-ar,0.015415655070629856,3088354
Cross County,Arkansas,AR,16681,05037,cross-county-ar,0.005401259052556799,3088354
Dallas County,Arkansas,AR,6351,05039,dallas-county-ar,0.0020564352402606696,3088354
Desha County,Arkansas,AR,11041,05041,desha-county-ar,0.0035750435345170925,3088354
Drew County,Arkansas,AR,17143,05043,drew-county-ar,0.005550853302438775,3088354
Faulkner County,Arkansas,AR,126001,05045,faulkner-county-ar,0.04079875558307111,3088354
Franklin County,Arkansas,AR,17220,05047,franklin-county-ar,0.005575785677419104,3088354
Fulton County,Arkansas,AR,12239,05049,fulton-county-ar,0.003962952433561697,3088354
Garland County,Arkansas,AR,100062,05051,garland-county-ar,0.032399783185476795,3088354
Grant County,Arkansas,AR,18111,05053,grant-county-ar,0.005864288873620058,3088354
Greene County,Arkansas,AR,46182,05055,greene-county-ar,0.014953596640799597,3088354
Hempstead County,Arkansas,AR,19778,05057,hempstead-county-ar,0.0064040586020903045,3088354
Hot Spring County,Arkansas,AR,33142,05059,hot-spring-county-ar,0.010731282748026942,3088354
Howard County,Arkansas,AR,12701,05061,howard-county-ar,0.004112546683443672,3088354
Independence County,Arkansas,AR,38120,05063,independence-county-ar,0.01234314460065135,3088354
Izard County,Arkansas,AR,13866,05065,izard-county-ar,0.004489770278925278,3088354
Jackson County,Arkansas,AR,16775,05067,jackson-county-ar,0.00543169597785746,3088354
Jefferson County,Arkansas,AR,65780,05069,jefferson-county-ar,0.021299371768909912,3088354
Johnson County,Arkansas,AR,25932,05071,johnson-county-ar,0.00839670581805065,3088354
Lafayette County,Arkansas,AR,6211,05073,lafayette-county-ar,0.0020111036493873436,3088354
Lawrence County,Arkansas,AR,16265,05075,lawrence-county-ar,0.005266559468247487,3088354
Lee County,Arkansas,AR,8511,05077,lee-county-ar,0.0027558369280205573,3088354
Lincoln County,Arkansas,AR,12966,05079,lincoln-county-ar,0.004198352909025325,3088354
Little River County,Arkansas,AR,11959,05081,little-river-county-ar,0.0038722892518150446,3088354
Logan County,Arkansas,AR,21240,05083,logan-county-ar,0.006877449929638895,3088354
Lonoke County,Arkansas,AR,74747,05085,lonoke-county-ar,0.024202860164346446,3088354
Madison County,Arkansas,AR,17032,05087,madison-county-ar,0.005514911826817781,3088354
Marion County,Arkansas,AR,17076,05089,marion-county-ar,0.0055291588982351115,3088354
Miller County,Arkansas,AR,42588,05091,miller-county-ar,0.013789869943665784,3088354
Mississippi County,Arkansas,AR,39749,05093,mississippi-county-ar,0.012870610040170266,3088354
Monroe County,Arkansas,AR,6681,05095,monroe-county-ar,0.0021632882758906525,3088354
Montgomery County,Arkansas,AR,8571,05097,montgomery-county-ar,0.002775264752680554,3088354
Nevada County,Arkansas,AR,8228,05099,nevada-county-ar,0.002664202355040905,3088354
