County,State,State Abbreviation,County Population,FIPS - County Code,County Name Fragment,County % of State Population,State Population
Jasper County,Indiana,IN,33198,18073,jasper-county-in,0.004794436962714508,6924275
Jay County,Indiana,IN,20281,18075,jay-county-in,0.0029289709030909375,6924275
Jefferson County,Indiana,IN,33074,18077,jefferson-county-in,0.0047765289506843675,6924275
Jennings County,Indiana,IN,27584,18079,jennings-county-in,0.0039836661599950895,6924275
Johnson County,Indiana,IN,163983,18081,johnson-county-in,0.023682334973697608,6924275
Knox County,Indiana,IN,36108,18083,knox-county-in,0.005214697567615382,6924275
Kosciusko County,Indiana,IN,80357,18085,kosciusko-county-in,0.01160511389279022,6924275
Lagrange County,Indiana,IN,40596,18087,lagrange-county-in,0.005862852067544977,6924275
Lake County,Indiana,IN,498990,18089,lake-county-in,0.07206386228161071,6924275
La Porte County,Indiana,IN,112141,18091,la-porte-county-in,0.016195341750580385,6924275
Lawrence County,Indiana,IN,45077,18093,lawrence-county-in,0.006509995631311581,6924275
Madison County,Indiana,IN,130949,18095,madison-county-in,0.018911582801087477,6924275
Marion County,Indiana,IN,971822,18097,marion-county-in,0.14035000054157296,6924275
Marshall County,Indiana,IN,46225,18099,marshall-county-in,0.006675789162042235,6924275
Martin County,Indiana,IN,9854,18101,martin-county-in,0.0014231092785887331,6924275
Miami County,Indiana,IN,35772,18103,miami-county-in,0.005166172631791776,6924275
Monroe County,Indiana,IN,139822,18105,monroe-county-in,0.020193016597405505,6924275
Montgomery County,Indiana,IN,38155,18107,montgomery-county-in,0.005510324185564554,6924275
Morgan County,Indiana,IN,72202,18109,morgan-county-in,0.010427373262904781,6924275
Newton County,Indiana,IN,13859,18111,newton-county-in,0.002001509183271895,6924275
Noble County,Indiana,IN,47417,18113,noble-county-in,0.006847937148654552,6924275
Ohio County,Indiana,IN,5993,18115,ohio-county-in,0.000865505774972831,6924275
Orange County,Indiana,IN,19746,18117,orange-county-in,0.002851706496347993,6924275
Owen County,Indiana,IN,21434,18119,owen-county-in,0.0030954865310808713,6924275
Parke County,Indiana,IN,16346,18121,parke-county-in,0.0023606803600376937,6924275
Perry County,Indiana,IN,19218,18123,perry-county-in,0.0027754530257680407,6924275
Pike County,Indiana,IN,12187,18125,pike-county-in,0.0017600398597687123,6924275
Porter County,Indiana,IN,174150,18127,porter-county-in,0.02515064754071726,6924275
Posey County,Indiana,IN,25163,18129,posey-county-in,0.003634026667051785,6924275
Pulaski County,Indiana,IN,12441,18131,pulaski-county-in,0.0017967224005401288,6924275
Putnam County,Indiana,IN,37091,18133,putnam-county-in,0.005356661888789801,6924275
Randolph County,Indiana,IN,24425,18135,randolph-county-in,0.003527445111582079,6924275
Ripley County,Indiana,IN,29039,18137,ripley-county-in,0.004193796462445527,6924275
Rush County,Indiana,IN,16734,18139,rush-county-in,0.00241671510735781,6924275
St. Joseph County,Indiana,IN,272574,18141,st.-joseph-county-in,0.0393649876701893,6924275
Scott County,Indiana,IN,24468,18143,scott-county-in,0.003533655148011886,6924275
Shelby County,Indiana,IN,45104,18145,shelby-county-in,0.006513894956511693,6924275
Spencer County,Indiana,IN,19871,18147,spencer-county-in,0.0028697589278299895,6924275
Starke County,Indiana,IN,23300,18149,starke-county-in,0.0033649732282441122,6924275
Steuben County,Indiana,IN,34648,18151,steuben-county-in,0.005003845167905665,6924275
Sullivan County,Indiana,IN,20766,18153,sullivan-county-in,0.002999014337241083,6924275
Switzerland County,Indiana,IN,9914,18155,switzerland-county-in,0.0014317744457000914,6924275
Tippecanoe County,Indiana,IN,187399,18157,tippecanoe-county-in,0.02706406085835701,6924275
Tipton County,Indiana,IN,15329,18159,tipton-county-in,0.0022138057775001716,6924275
Union County,Indiana,IN,7028,18161,union-county-in,0.0010149799076437606,6924275
Vanderburgh County,Indiana,IN,179908,18163,vanderburgh-county-in,0.025982214744503938,6924275
Vermillion County,Indiana,IN,15452,18165,vermillion-county-in,0.002231569370078456,6924275
Vigo County,Indiana,IN,106201,18167,vigo-county-in,0.01533749020655592,6924275
Wabash County,Indiana,IN,30901,18169,wabash-county-in,0.004462705481801344,6924275
Warren County,Indiana,IN,8469,18171,warren-county-in,0.001223088337768214,6924275
Warrick County,Indiana,IN,64650,18173,warrick-county-in,0.009336717562488491,6924275
Washington County,Indiana,IN,28167,18175,washington-county-in,0.00406786270042712,6924275
Wayne County,Indiana,IN,66377,18177,wayne-county-in,0.009586129955843752,6924275
Wells County,Indiana,IN,28261,18179,wells-county-in,0.004081438128901582,6924275
White County,Indiana,IN,24709,18181,white-county-in,0.0035684602359091744,6924275
Whitley County,Indiana,IN,34388,18183,whitley-county-in,0.004966296110423113,6924275
Adair County,Iowa,IA,7471,19001,adair-county-ia,0.002304805694175021,3241488
Adams County,Iowa,IA,3641,19003,adams-county-ia,0.00112324956933359,3241488
Allamakee County,Iowa,IA,14038,19005,allamakee-county-ia,0.004330727122852221,3241488
Appanoose County,Iowa,IA,12242,19007,appanoose-county-ia,0.0037766605953808868,3241488
Audubon County,Iowa,IA,5622,19009,audubon-county-ia,0.0017343886511379959,3241488
Benton County,Iowa,IA,25698,19011,benton-county-ia,0.0079278405473042,3241488
Black Hawk County,Iowa,IA,130693,19013,black-hawk-county-ia,0.040318828883525094,3241488
Boone County,Iowa,IA,26669,19015,boone-county-ia,0.008227394332479404,3241488
Bremer County,Iowa,IA,25118,19017,bremer-county-ia,0.007748910376962679,3241488
Buchanan County,Iowa,IA,20645,19019,buchanan-county-ia,0.006368988563277112,3241488
Buena Vista County,Iowa,IA,20684,19021,buena-vista-county-ia,0.006381020074731111,3241488
Butler County,Iowa,IA,14301,19023,butler-county-ia,0.0044118627000932905,3241488
Calhoun County,Iowa,IA,9858,19025,calhoun-county-ia,0.0030411958952184922,3241488
Carroll County,Iowa,IA,20677,19027,carroll-county-ia,0.006378860572675265,3241488
Cass County,Iowa,IA,13115,19029,cass-county-ia,0.004045981351774247,3241488
Cedar County,Iowa,IA,18427,19031,cedar-county-ia,0.005684734911867636,3241488
Cerro Gordo County,Iowa,IA,42785,19033,cerro-gordo-county-ia,0.013199185065624182,3241488
Cherokee County,Iowa,IA,11587,19035,cherokee-county-ia,0.0035745929030124436,3241488
Chickasaw County,Iowa,IA,11868,19037,chickasaw-county-ia,0.0036612814855399743,3241488
Clarke County,Iowa,IA,9690,19039,clarke-county-ia,0.0029893678458781893,3241488
Clay County,Iowa,IA,16446,19041,clay-county-ia,0.00507359583006323,3241488
Clayton County,Iowa,IA,17069,19043,clayton-county-ia,0.005265791513033521,3241488
Clinton County,Iowa,IA,46383,19045,clinton-county-ia,0.014309169122329005,3241488
Crawford County,Iowa,IA,16289,19047,crawford-county-ia,0.005025161283953542,3241488
Dallas County,Iowa,IA,104136,19049,dallas-county-ia,0.032125986583939226,3241488
Davis County,Iowa,IA,9127,19051,davis-county-ia,0.002815682180529436,3241488
Decatur County,Iowa,IA,7669,19053,decatur-county-ia,0.002365888752326092,3241488
Delaware County,Iowa,IA,17549,19055,delaware-county-ia,0.005413871654005815,3241488
Des Moines County,Iowa,IA,38597,19057,des-moines-county-ia,0.011907185835640915,3241488
Dickinson County,Iowa,IA,17844,19059,dickinson-county-ia,0.005504879240645037,3241488
Dubuque County,Iowa,IA,98948,19061,dubuque-county-ia,0.03052548706026368,3241488
Emmet County,Iowa,IA,9316,19063,emmet-county-ia,0.0028739887360372768,3241488
Fayette County,Iowa,IA,19393,19065,fayette-county-ia,0.0059827461955743785,3241488
Floyd County,Iowa,IA,15502,19067,floyd-county-ia,0.004782371552817718,3241488
Franklin County,Iowa,IA,9977,19069,franklin-county-ia,0.0030779074301678735,3241488
Fremont County,Iowa,IA,6570,19071,fremont-county-ia,0.002026846929558277,3241488
Greene County,Iowa,IA,8722,19073,greene-county-ia,0.002690739561584063,3241488
Grundy County,Iowa,IA,12352,19075,grundy-county-ia,0.0038105956276870377,3241488
Guthrie County,Iowa,IA,10646,19077,guthrie-county-ia,0.0032842941266480086,3241488
Hamilton County,Iowa,IA,14893,19079,hamilton-county-ia,0.00459449487395912,3241488
Hancock County,Iowa,IA,10718,19081,hancock-county-ia,0.0033065061477938525,3241488
Hardin County,Iowa,IA,16729,19083,hardin-county-ia,0.005160901413178145,3241488
Harrison County,Iowa,IA,14645,19085,harrison-county-ia,0.004517986801123435,3241488
Henry County,Iowa,IA,20228,19087,henry-county-ia,0.006240343940807432,3241488
Howard County,Iowa,IA,9459,19089,howard-county-ia,0.0029181042780352727,3241488
Humboldt County,Iowa,IA,9573,19091,humboldt-county-ia,0.0029532733115161924,3241488
Ida County,Iowa,IA,6944,19093,ida-county-ia,0.0021422260393991893,3241488
Iowa County,Iowa,IA,16547,19095,iowa-county-ia,0.00510475435972615,3241488
Jackson County,Iowa,IA,19429,19097,jackson-county-ia,0.005993852206147301,3241488
Jasper County,Iowa,IA,37864,19099,jasper-county-ia,0.011681055120364475,3241488
Jefferson County,Iowa,IA,15676,19101,jefferson-county-ia,0.004836050603920175,3241488
Johnson County,Iowa,IA,154881,19103,johnson-county-ia,0.04778083398735396,3241488
Jones County,Iowa,IA,20799,19105,jones-county-ia,0.006416497608505723,3241488
Keokuk County,Iowa,IA,9964,19107,keokuk-county-ia,0.003073896926349874,3241488
Kossuth County,Iowa,IA,14610,19109,kossuth-county-ia,0.004507189290844205,3241488
Lee County,Iowa,IA,33175,19111,lee-county-ia,0.010234497243241375,3241488
Linn County,Iowa,IA,229463,19113,linn-county-ia,0.07078940289151155,3241488
Louisa County,Iowa,IA,10710,19115,louisa-county-ia,0.0033040381454443146,3241488
Lucas County,Iowa,IA,8685,19117,lucas-county-ia,0.0026793250507174482,3241488
Lyon County,Iowa,IA,12087,19119,lyon-county-ia,0.0037288430498585833,3241488
Madison County,Iowa,IA,16760,19121,madison-county-ia,0.005170464922282606,3241488
Mahaska County,Iowa,IA,22045,19123,mahaska-county-ia,0.006800888974446304,3241488
Marion County,Iowa,IA,33551,19125,marion-county-ia,0.010350493353669672,3241488
Marshall County,Iowa,IA,39971,19127,marshall-county-ia,0.012331065239174108,3241488
Mills County,Iowa,IA,14563,19129,mills-county-ia,0.004492689777040668,3241488
Mitchell County,Iowa,IA,10548,19131,mitchell-county-ia,0.003254061097866165,3241488
Monona County,Iowa,IA,8619,19133,monona-county-ia,0.002658964031333758,3241488
Monroe County,Iowa,IA,7546,19135,monroe-county-ia,0.0023279432162019416,3241488
Montgomery County,Iowa,IA,10254,19137,montgomery-county-ia,0.003163362011520635,3241488
Muscatine County,Iowa,IA,42735,19139,muscatine-county-ia,0.013183760050939568,3241488
O,Iowa,IA,14103,19141,o-ia,0.004350779641942219,3241488
Osceola County,Iowa,IA,6114,19143,osceola-county-ia,0.0018861707956345974,3241488
Page County,Iowa,IA,15168,19145,page-county-ia,0.004679332454724497,3241488
Palo Alto County,Iowa,IA,8902,19147,palo-alto-county-ia,0.002746269614448673,3241488
Plymouth County,Iowa,IA,25699,19149,plymouth-county-ia,0.007928149047597893,3241488
Pocahontas County,Iowa,IA,7040,19151,pocahontas-county-ia,0.0021718420675936483,3241488
Polk County,Iowa,IA,497441,19153,polk-county-ia,0.15346069459458125,3241488
Pottawattamie County,Iowa,IA,93407,19155,pottawattamie-county-ia,0.02881608693291476,3241488
Poweshiek County,Iowa,IA,18582,19157,poweshiek-county-ia,0.005732552457389939,3241488
Ringgold County,Iowa,IA,4664,19159,ringgold-county-ia,0.001438845369780792,3241488
Sac County,Iowa,IA,9759,19161,sac-county-ia,0.0030106543661429564,3241488
Scott County,Iowa,IA,174302,19163,scott-county-ia,0.053772218191151716,3241488
Shelby County,Iowa,IA,11757,19165,shelby-county-ia,0.0036270379529401314,3241488
Sioux County,Iowa,IA,35984,19167,sioux-county-ia,0.011101074568222988,3241488
Story County,Iowa,IA,98592,19169,story-county-ia,0.03041566095570923,3241488
Tama County,Iowa,IA,16982,19171,tama-county-ia,0.0052389519874822925,3241488
Taylor County,Iowa,IA,5901,19173,taylor-county-ia,0.001820460233078142,3241488
Union County,Iowa,IA,12038,19175,union-county-ia,0.0037137265354676616,3241488
Van Buren County,Iowa,IA,7236,19177,van-buren-county-ia,0.002232308125157335,3241488
Wapello County,Iowa,IA,35265,19179,wapello-county-ia,0.01087926285705824,3241488
Warren County,Iowa,IA,53484,19181,warren-county-ia,0.016499829707837883,3241488
Washington County,Iowa,IA,22539,19183,washington-county-ia,0.0069532881195302895,3241488
Wayne County,Iowa,IA,6518,19185,wayne-county-ia,0.0020108049142862783,3241488
Webster County,Iowa,IA,36848,19187,webster-county-ia,0.01136761882197312,3241488
Winnebago County,Iowa,IA,10648,19189,winnebago-county-ia,0.003284911127235393,3241488
Winneshiek County,Iowa,IA,19972,19191,winneshiek-county-ia,0.006161367865622208,3241488
Woodbury County,Iowa,IA,105760,19193,woodbury-county-ia,0.03262699106089549,3241488
Worth County,Iowa,IA,7380,19195,worth-county-ia,0.0022767321674490235,3241488
Wright County,Iowa,IA,12817,19197,wright-county-ia,0.003954048264253948,3241488
Allen County,Kansas,KS,12491,20001,allen-county-ks,0.004204865943177924,2970606
Anderson County,Kansas,KS,7819,20003,anderson-county-ks,0.0026321228732453916,2970606
Atchison County,Kansas,KS,16211,20005,atchison-county-ks,0.005457135682079684,2970606
Barber County,Kansas,KS,4153,20007,barber-county-ks,0.0013980312434567223,2970606
Barton County,Kansas,KS,25275,20009,barton-county-ks,0.008508364959876873,2970606
Bourbon County,Kansas,KS,14384,20011,bourbon-county-ks,0.004842109657086803,2970606
Brown County,Kansas,KS,9415,20013,brown-county-ks,0.0031693869870322755,2970606
Butler County,Kansas,KS,67916,20015,butler-county-ks,0.022862675157863412,2970606
Chase County,Kansas,KS,2579,20017,chase-county-ks,0.0008681730259751714,2970606
Chautauqua County,Kansas,KS,3370,20019,chautauqua-county-ks,0.0011344486613169165,2970606
Cherokee County,Kansas,KS,19236,20021,cherokee-county-ks,0.006475446424062969,2970606
Cheyenne County,Kansas,KS,2628,20023,cheyenne-county-ks,0.0008846679768370494,2970606
Clark County,Kansas,KS,1987,20025,clark-county-ks,0.0006688870890316656,2970606
Clay County,Kansas,KS,8071,20027,clay-county-ks,0.0027169540491064786,2970606
Cloud County,Kansas,KS,8973,20029,cloud-county-ks,0.003020595797625131,2970606
Coffey County,Kansas,KS,8304,20031,coffey-county-ks,0.00279538922361296,2970606
Comanche County,Kansas,KS,1685,20033,comanche-county-ks,0.0005672243306584583,2970606
Cowley County,Kansas,KS,34487,20035,cowley-county-ks,0.01160941572190994,2970606
Crawford County,Kansas,KS,38963,20037,crawford-county-ks,0.01311617898839496,2970606
Decatur County,Kansas,KS,2746,20039,decatur-county-ks,0.0009243905115656536,2970606
Dickinson County,Kansas,KS,18423,20041,dickinson-county-ks,0.0062017648924158906,2970606
Doniphan County,Kansas,KS,7492,20043,doniphan-county-ks,0.002522044323616124,2970606
Douglas County,Kansas,KS,119547,20045,douglas-county-ks,0.040243303891529206,2970606
Edwards County,Kansas,KS,2817,20047,edwards-county-ks,0.0009482913587328646,2970606
Elk County,Kansas,KS,2464,20049,elk-county-ks,0.0008294603861972944,2970606
Ellis County,Kansas,KS,28870,20051,ellis-county-ks,0.009718555742498332,2970606
Ellsworth County,Kansas,KS,6366,20053,ellsworth-county-ks,0.0021429970854431723,2970606
Finney County,Kansas,KS,38001,20055,finney-county-ks,0.012792339340861764,2970606
Ford County,Kansas,KS,34133,20057,ford-county-ks,0.011490248117724127,2970606
Franklin County,Kansas,KS,25994,20059,franklin-county-ks,0.008750403116401165,2970606
Geary County,Kansas,KS,35895,20061,geary-county-ks,0.012083393085451252,2970606
Gove County,Kansas,KS,2796,20063,gove-county-ks,0.000941222094077774,2970606
Graham County,Kansas,KS,2406,20065,graham-county-ks,0.0008099357504832347,2970606
Grant County,Kansas,KS,7284,20067,grant-county-ks,0.002452024940365703,2970606
Gray County,Kansas,KS,5696,20069,gray-county-ks,0.0019174538797807586,2970606
Greeley County,Kansas,KS,1296,20071,greeley-county-ks,0.00043627461871416134,2970606
Greenwood County,Kansas,KS,5956,20073,greenwood-county-ks,0.002004978108843785,2970606
Hamilton County,Kansas,KS,2485,20075,hamilton-county-ks,0.000836529650852385,2970606
Harper County,Kansas,KS,5446,20077,harper-county-ks,0.0018332959672201564,2970606
Harvey County,Kansas,KS,33823,20079,harvey-county-ks,0.011385892306148981,2970606
Haskell County,Kansas,KS,3695,20081,haskell-county-ks,0.0012438539476456992,2970606
Hodgeman County,Kansas,KS,1676,20083,hodgeman-county-ks,0.0005641946458062766,2970606
Jackson County,Kansas,KS,13277,20085,jackson-county-ks,0.004469458420268457,2970606
Jefferson County,Kansas,KS,18391,20087,jefferson-county-ks,0.006190992679608134,2970606
Jewell County,Kansas,KS,2909,20089,jewell-county-ks,0.0009792614705551662,2970606
Johnson County,Kansas,KS,614764,20091,johnson-county-ks,0.206949019829624,2970606
Kearny County,Kansas,KS,3910,20093,kearny-county-ks,0.001316229752447817,2970606
Kingman County,Kansas,KS,7284,20095,kingman-county-ks,0.002452024940365703,2970606
Kiowa County,Kansas,KS,2422,20097,kiowa-county-ks,0.0008153218568871133,2970606
Labette County,Kansas,KS,19949,20099,labette-county-ks,0.006715464790685806,2970606
Lane County,Kansas,KS,1497,20101,lane-county-ks,0.0005039375804128855,2970606
Leavenworth County,Kansas,KS,82493,20103,leavenworth-county-ks,0.027769754723447,2970606
Lincoln County,Kansas,KS,2924,20105,lincoln-county-ks,0.0009843109453088023,2970606
Linn County,Kansas,KS,9723,20107,linn-county-ks,0.003273069535306937,2970606
Logan County,Kansas,KS,2720,20109,logan-county-ks,0.000915638088659351,2970606
Lyon County,Kansas,KS,32145,20111,lyon-county-ks,0.010821024397042219,2970606
McPherson County,Kansas,KS,30130,20113,mcpherson-county-ks,0.010142711621803767,2970606
Marion County,Kansas,KS,11795,20115,marion-county-ks,0.003970570314609207,2970606
Marshall County,Kansas,KS,10001,20117,marshall-county-ks,0.003366653134074327,2970606
Meade County,Kansas,KS,3949,20119,meade-county-ks,0.001329358386807271,2970606
Miami County,Kansas,KS,34625,20121,miami-county-ks,0.011655870889643392,2970606
Mitchell County,Kansas,KS,5767,20123,mitchell-county-ks,0.0019413547269479694,2970606
Montgomery County,Kansas,KS,31143,20125,montgomery-county-ks,0.010483719483499326,2970606
Morris County,Kansas,KS,5388,20127,morris-county-ks,0.0018137713315060967,2970606
Morton County,Kansas,KS,2647,20129,morton-county-ks,0.0008910639781916552,2970606
Nemaha County,Kansas,KS,10213,20131,nemaha-county-ks,0.0034380190439257177,2970606
Neosho County,Kansas,KS,15715,20133,neosho-county-ks,0.005290166383559449,2970606
Ness County,Kansas,KS,2659,20135,ness-county-ks,0.000895103557994564,2970606
Norton County,Kansas,KS,5392,20137,norton-county-ks,0.0018151178581070663,2970606
Osage County,Kansas,KS,15780,20139,osage-county-ks,0.005312047440825206,2970606
Osborne County,Kansas,KS,3473,20141,osborne-county-ks,0.0011691217212918845,2970606
Ottawa County,Kansas,KS,5782,20143,ottawa-county-ks,0.0019464042017016056,2970606
Pawnee County,Kansas,KS,6220,20145,pawnee-county-ks,0.0020938488645077806,2970606
Phillips County,Kansas,KS,4874,20147,phillips-county-ks,0.0016407426632814989,2970606
Pottawatomie County,Kansas,KS,25808,20149,pottawatomie-county-ks,0.008687789629456077,2970606
Pratt County,Kansas,KS,9120,20151,pratt-county-ks,0.003070080650210765,2970606
Rawlins County,Kansas,KS,2533,20153,rawlins-county-ks,0.0008526879700640206,2970606
Reno County,Kansas,KS,61693,20155,reno-county-ks,0.020767816398404904,2970606
Republic County,Kansas,KS,4662,20157,republic-county-ks,0.0015693767534301082,2970606
Rice County,Kansas,KS,9389,20159,rice-county-ks,0.0031606345641259728,2970606
Riley County,Kansas,KS,71710,20161,riley-county-ks,0.02413985563888311,2970606
Rooks County,Kansas,KS,4869,20163,rooks-county-ks,0.0016390595050302867,2970606
Rush County,Kansas,KS,2957,20165,rush-county-ks,0.0009954197897668019,2970606
Russell County,Kansas,KS,6717,20167,russell-county-ks,0.0022611547946782577,2970606
Saline County,Kansas,KS,53801,20169,saline-county-ks,0.018111119414691818,2970606
Scott County,Kansas,KS,5071,20171,scott-county-ks,0.0017070590983792532,2970606
Sedgwick County,Kansas,KS,524810,20173,sedgwick-county-ks,0.17666765636371837,2970606
Seward County,Kansas,KS,21640,20175,seward-county-ks,0.007284708911245719,2970606
Shawnee County,Kansas,KS,178315,20177,shawnee-county-ks,0.060026472712975065,2970606
Sheridan County,Kansas,KS,2442,20179,sheridan-county-ks,0.0008220544898919614,2970606
Sherman County,Kansas,KS,5919,20181,sherman-county-ks,0.0019925227377848155,2970606
Smith County,Kansas,KS,3579,20183,smith-county-ks,0.0012048046762175798,2970606
Stafford County,Kansas,KS,4004,20185,stafford-county-ks,0.0013478731275706035,2970606
Stanton County,Kansas,KS,2018,20187,stanton-county-ks,0.0006793226701891803,2970606
Stevens County,Kansas,KS,5212,20189,stevens-county-ks,0.001754524161063433,2970606
Sumner County,Kansas,KS,22386,20191,sumner-county-ks,0.007535836122326556,2970606
Thomas County,Kansas,KS,7913,20193,thomas-county-ks,0.002663766248368178,2970606
Trego County,Kansas,KS,2778,20195,trego-county-ks,0.0009351627243734107,2970606
Wabaunsee County,Kansas,KS,6961,20197,wabaunsee-county-ks,0.002343292917337405,2970606
Wallace County,Kansas,KS,1459,20199,wallace-county-ks,0.000491145577703674,2970606
Washington County,Kansas,KS,5519,20201,washington-county-ks,0.0018578700776878522,2970606
Wichita County,Kansas,KS,2115,20203,wichita-county-ks,0.0007119759402626939,2970606
Wilson County,Kansas,KS,8559,20205,wilson-county-ks,0.002881230294424774,2970606
Woodson County,Kansas,KS,3118,20207,woodson-county-ks,0.0010496174854558295,2970606
Wyandotte County,Kansas,KS,167277,20209,wyandotte-county-ks,0.05631073255759936,2970606
Adair County,Kentucky,KY,19016,21001,adair-county-ky,0.004144389338963798,4588372
Allen County,Kentucky,KY,21029,21003,allen-county-ky,0.00458310703665701,4588372
Anderson County,Kentucky,KY,24098,21005,anderson-county-ky,0.005251971723304039,4588372
Ballard County,Kentucky,KY,7678,21007,ballard-county-ky,0.001673360398851706,4588372
Barren County,Kentucky,KY,44670,21009,barren-county-ky,0.009735479163415696,4588372
Bath County,Kentucky,KY,12812,21011,bath-county-ky,0.0027922757788601273,4588372
Bell County,Kentucky,KY,23878,21013,bell-county-ky,0.005204024433938661,4588372
Boone County,Kentucky,KY,137676,21015,boone-county-ky,0.0300054136848538,4588372
Bourbon County,Kentucky,KY,20174,21017,bourbon-county-ky,0.004396766434805199,4588372
Boyd County,Kentucky,KY,48043,21019,boyd-county-ky,0.010470598286276701,4588372
Boyle County,Kentucky,KY,30708,21021,boyle-county-ky,0.006692569826509271,4588372
Bracken County,Kentucky,KY,8427,21023,bracken-county-ky,0.0018365991249183807,4588372
Breathitt County,Kentucky,KY,13438,21025,breathitt-county-ky,0.0029287076113270675,4588372
Breckinridge County,Kentucky,KY,20722,21027,breckinridge-county-ky,0.004516198773769868,4588372
Bullitt County,Kentucky,KY,83209,21029,bullitt-county-ky,0.01813475454910805,4588372
Butler County,Kentucky,KY,12373,21031,butler-county-ky,0.0026965991423537586,4588372
Caldwell County,Kentucky,KY,12631,21033,caldwell-county-ky,0.002752828236245884,4588372
Calloway County,Kentucky,KY,37882,21035,calloway-county-ky,0.008256087344269384,4588372
Campbell County,Kentucky,KY,93193,21037,campbell-county-ky,0.020310689717398675,4588372
Carlisle County,Kentucky,KY,4763,21039,carlisle-county-ky,0.0010380588147604422,4588372
Carroll County,Kentucky,KY,10878,21041,carroll-county-ky,0.0023707755168935734,4588372
Carter County,Kentucky,KY,26515,21043,carter-county-ky,0.005778738079650037,4588372
Casey County,Kentucky,KY,15951,21045,casey-county-ky,0.0034763964212143218,4588372
Christian County,Kentucky,KY,72599,21047,christian-county-ky,0.015822387548350483,4588372
Clark County,Kentucky,KY,37004,21049,clark-county-ky,0.008064734071256647,4588372
Clay County,Kentucky,KY,20105,21051,clay-county-ky,0.004381728421322421,4588372
Clinton County,Kentucky,KY,9240,21053,clinton-county-ky,0.0020137861533458925,4588372
Crittenden County,Kentucky,KY,8972,21055,crittenden-county-ky,0.0019553776372098863,4588372
Cumberland County,Kentucky,KY,5948,21057,cumberland-county-ky,0.0012963203506603214,4588372
Daviess County,Kentucky,KY,103195,21059,daviess-county-ky,0.02249054784572829,4588372
Edmonson County,Kentucky,KY,12243,21061,edmonson-county-ky,0.0026682666531833077,4588372
Elliott County,Kentucky,KY,7336,21063,elliott-county-ky,0.0015988241581109813,4588372
Estill County,Kentucky,KY,14079,21065,estill-county-ky,0.0030684085771598294,4588372
Fayette County,Kentucky,KY,321122,21067,fayette-county-ky,0.06998604297995019,4588372
Fleming County,Kentucky,KY,15221,21069,fleming-county-ky,0.0033172985974110206,4588372
Floyd County,Kentucky,KY,35342,21071,floyd-county-ky,0.007702514094323651,4588372
Franklin County,Kentucky,KY,51563,21073,franklin-county-ky,0.011237754916122755,4588372
Fulton County,Kentucky,KY,6440,21075,fulton-county-ky,0.0014035479250592586,4588372
Gallatin County,Kentucky,KY,8749,21077,gallatin-county-ky,0.0019067765211713435,4588372
Garrard County,Kentucky,KY,17346,21079,garrard-county-ky,0.0037804258242356984,4588372
Grant County,Kentucky,KY,25238,21081,grant-county-ky,0.005500425859106454,4588372
Graves County,Kentucky,KY,36612,21083,graves-county-ky,0.007979300719296518,4588372
Grayson County,Kentucky,KY,26586,21085,grayson-county-ky,0.005794211977581591,4588372
Green County,Kentucky,KY,11278,21087,green-county-ky,0.002457952406648807,4588372
Greenup County,Kentucky,KY,35639,21089,greenup-county-ky,0.007767242934966912,4588372
Hancock County,Kentucky,KY,9032,21091,hancock-county-ky,0.001968454170673171,4588372
Hardin County,Kentucky,KY,111452,21093,hardin-county-ky,0.024290096792500694,4588372
Harlan County,Kentucky,KY,26185,21095,harlan-county-ky,0.005706817145601969,4588372
Harrison County,Kentucky,KY,18971,21097,harrison-county-ky,0.0041345819388663345,4588372
Hart County,Kentucky,KY,19470,21099,hart-county-ky,0.004243335108835988,4588372
Henderson County,Kentucky,KY,44493,21101,henderson-county-ky,0.009696903389699004,4588372
Henry County,Kentucky,KY,15774,21103,henry-county-ky,0.003437820647497631,4588372
Hickman County,Kentucky,KY,4470,21105,hickman-county-ky,0.0009742017430147338,4588372
Hopkins County,Kentucky,KY,45143,21107,hopkins-county-ky,0.009838565835551259,4588372
Jackson County,Kentucky,KY,13003,21109,jackson-county-ky,0.002833902743718251,4588372
Jefferson County,Kentucky,KY,777392,21111,jefferson-county-ky,0.1694265417015011,4588372
Jessamine County,Kentucky,KY,53792,21113,jessamine-county-ky,0.011723548134283794,4588372
Johnson County,Kentucky,KY,22464,21115,johnson-county-ky,0.00489585412865391,4588372
Kenton County,Kentucky,KY,169817,21117,kenton-county-ky,0.037010294718911194,4588372
Knott County,Kentucky,KY,14046,21119,knott-county-ky,0.0030612164837550224,4588372
Knox County,Kentucky,KY,30034,21121,knox-county-ky,0.006545676767271703,4588372
Larue County,Kentucky,KY,15028,21123,larue-county-ky,0.003275235748104121,4588372
Laurel County,Kentucky,KY,62731,21125,laurel-county-ky,0.013671733678088873,4588372
Lawrence County,Kentucky,KY,16171,21127,lawrence-county-ky,0.0035243437105797,4588372
Lee County,Kentucky,KY,7375,21129,lee-county-ky,0.0016073239048621166,4588372
Leslie County,Kentucky,KY,10261,21131,leslie-county-ky,0.002236305164446126,4588372
Letcher County,Kentucky,KY,21146,21133,letcher-county-ky,0.004608606276910416,4588372
Lewis County,Kentucky,KY,13028,21135,lewis-county-ky,0.0028393512993279534,4588372
Lincoln County,Kentucky,KY,24415,21137,lincoln-county-ky,0.005321059408435061,4588372
