Zillow_RegionID,Zillow_RegionName,Zillow_StateName,CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Code,Metropolitan Division Title,CSA Code,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,16984,"Chicago-Naperville-Schaumburg, IL",176,"Chicago-Naperville, IL-IN-WI",Cook County,Illinois,17,31
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,16984,"Chicago-Naperville-Schaumburg, IL",176,"Chicago-Naperville, IL-IN-WI",DuPage County,Illinois,17,43
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,16984,"Chicago-Naperville-Schaumburg, IL",176,"Chicago-Naperville, IL-IN-WI",Grundy County,Illinois,17,63
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,16984,"Chicago-Naperville-Schaumburg, IL",176,"Chicago-Naperville, IL-IN-WI",McHenry County,Illinois,17,111
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,16984,"Chicago-Naperville-Schaumburg, IL",176,"Chicago-Naperville, IL-IN-WI",Will County,Illinois,17,197
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,20994,"Elgin, IL",176,"Chicago-Naperville, IL-IN-WI",DeKalb County,Illinois,17,37
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,20994,"Elgin, IL",176,"Chicago-Naperville, IL-IN-WI",Kane County,Illinois,17,89
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,20994,"Elgin, IL",176,"Chicago-Naperville, IL-IN-WI",Kendall County,Illinois,17,93
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,29404,"Lake County, IL",176,"Chicago-Naperville, IL-IN-WI",Lake County,Illinois,17,97
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,29414,"Lake County-Porter County-Jasper County, IN",176,"Chicago-Naperville, IL-IN-WI",Jasper County,Indiana,18,73
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,29414,"Lake County-Porter County-Jasper County, IN",176,"Chicago-Naperville, IL-IN-WI",Lake County,Indiana,18,89
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,29414,"Lake County-Porter County-Jasper County, IN",176,"Chicago-Naperville, IL-IN-WI",Newton County,Indiana,18,111
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,29414,"Lake County-Porter County-Jasper County, IN",176,"Chicago-Naperville, IL-IN-WI",Porter County,Indiana,18,127
