Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"Zanesville, OH",49780,Micropolitan Statistical Area,86305
"Oak Harbor, WA",36020,Micropolitan Statistical Area,86267
"Athens, TX",11980,Micropolitan Statistical Area,86158
"Centralia, WA",16500,Micropolitan Statistical Area,86154
"Meridian, MS",32940,Micropolitan Statistical Area,85755
"Watertown-Fort Atkinson, WI",48020,Micropolitan Statistical Area,85743
"Great Falls, MT",24500,Metropolitan Statistical Area,84900
"Russellville, AR",40780,Micropolitan Statistical Area,84637
"Midland, MI",33220,Metropolitan Statistical Area,84039
"Columbus, IN",18020,Metropolitan Statistical Area,84003
"Kokomo, IN",29020,Metropolitan Statistical Area,83831
"Stillwater, OK",44660,Micropolitan Statistical Area,83352
"Indiana, PA",26860,Micropolitan Statistical Area,83094
"Orangeburg, SC",36700,Micropolitan Statistical Area,82820
"Laurel, MS",29860,Micropolitan Statistical Area,82263
"Meadville, PA",32740,Micropolitan Statistical Area,82001
"Opelousas, LA",36660,Micropolitan Statistical Area,81464
"Manitowoc, WI",31820,Micropolitan Statistical Area,81331
"Elmira, NY",21300,Metropolitan Statistical Area,81325
"Huntsville, TX",26660,Micropolitan Statistical Area,81268
"Seneca, SC",42860,Micropolitan Statistical Area,81221
"Key West-Key Largo, FL",28580,Micropolitan Statistical Area,80614
"Warsaw, IN",47700,Micropolitan Statistical Area,80364
"Casper, WY",16220,Metropolitan Statistical Area,79941
"Monticello, NY",33910,Micropolitan Statistical Area,79920
"Heber, UT",25720,Micropolitan Statistical Area,79903
"Rifle, CO",40090,Micropolitan Statistical Area,79347
"Wilson, NC",48980,Micropolitan Statistical Area,78970
"Searcy, AR",42620,Micropolitan Statistical Area,78452
"Plattsburgh, NY",38460,Micropolitan Statistical Area,78115
"Keene, NH",28300,Micropolitan Statistical Area,77703
"Port Angeles, WA",38820,Micropolitan Statistical Area,77616
"Aberdeen, WA",10140,Micropolitan Statistical Area,77290
"DuBois, PA",20180,Micropolitan Statistical Area,77090
"Chillicothe, OH",17060,Micropolitan Statistical Area,76501
"Grand Island, NE",24260,Metropolitan Statistical Area,76479
"Frankfort, KY",23180,Micropolitan Statistical Area,76257
"Palatka, FL",37260,Micropolitan Statistical Area,75955
"Minot, ND",33500,Metropolitan Statistical Area,75742
"Olean, NY",36460,Micropolitan Statistical Area,75600
"Findlay, OH",22300,Micropolitan Statistical Area,74704
"Auburn, NY",12180,Micropolitan Statistical Area,74485
"Quincy, IL-MO",39500,Micropolitan Statistical Area,74259
"Wisconsin Rapids-Marshfield, WI",49220,Micropolitan Statistical Area,73939
"Kapaa, HI",28180,Micropolitan Statistical Area,73851
"Shawnee, OK",43060,Micropolitan Statistical Area,73791
"Lake City, FL",29380,Micropolitan Statistical Area,73063
"Greeneville, TN",24620,Micropolitan Statistical Area,72577
"Fort Payne, AL",22840,Micropolitan Statistical Area,72569
"Somerset, PA",43740,Micropolitan Statistical Area,72197
"Hobbs, NM",26020,Micropolitan Statistical Area,72101
"Portsmouth, OH",39020,Micropolitan Statistical Area,71969
"Thomasville, GA",45620,Micropolitan Statistical Area,71715
"Danville, IL",19180,Micropolitan Statistical Area,71652
"Mount Airy, NC",34340,Micropolitan Statistical Area,71462
"Pine Bluff, AR",38220,Micropolitan Statistical Area,71039
"Stevens Point-Plover, WI",44620,Micropolitan Statistical Area,71024
"Oxford, MS",37060,Micropolitan Statistical Area,70853
"Greenfield, MA",24640,Micropolitan Statistical Area,70836
"Klamath Falls, OR",28900,Micropolitan Statistical Area,70003
"Morehead City, NC",33980,Micropolitan Statistical Area,69615
"Athens, TN",11940,Micropolitan Statistical Area,69369
"Alamogordo, NM",10460,Micropolitan Statistical Area,68835
"Gallup, NM",23700,Micropolitan Statistical Area,68797
"Rexburg, ID",39940,Micropolitan Statistical Area,68743
"Shelton, WA",43220,Micropolitan Statistical Area,68389
"Owosso, MI",37020,Micropolitan Statistical Area,68025
"Faribault-Northfield, MN",22060,Micropolitan Statistical Area,67948
"Clearlake, CA",17340,Micropolitan Statistical Area,67878
"Granbury, TX",24180,Micropolitan Statistical Area,67774
"New Iberia, LA",35340,Micropolitan Statistical Area,67659
"Brigham City, UT-ID",14940,Micropolitan Statistical Area,67637
"Tullahoma-Manchester, TN",46100,Micropolitan Statistical Area,67381
"Columbus, MS",18060,Micropolitan Statistical Area,67197
"Sanford, NC",41820,Micropolitan Statistical Area,67059
"Farmington, MO",22100,Micropolitan Statistical Area,67058
"Marquette, MI",32100,Micropolitan Statistical Area,66999
"Marion-Herrin, IL",32060,Micropolitan Statistical Area,66706
"Muskogee, OK",34780,Micropolitan Statistical Area,66677
"Marion, IN",31980,Micropolitan Statistical Area,66200
"Somerset, KY",43700,Micropolitan Statistical Area,66191
"Richmond, IN",39980,Micropolitan Statistical Area,66127
"North Wilkesboro, NC",35900,Micropolitan Statistical Area,66013
"Clovis, NM",17580,Micropolitan Statistical Area,66009
"Rio Grande City-Roma, TX",40100,Micropolitan Statistical Area,65934
"Baraboo, WI",12660,Micropolitan Statistical Area,65920
"Murrells Inlet, SC",34680,Micropolitan Statistical Area,65731
"Albemarle, NC",10620,Micropolitan Statistical Area,65699
"Lewiston, ID-WA",30300,Metropolitan Statistical Area,65536
"Forest City, NC",22580,Micropolitan Statistical Area,65507
"Bloomsburg-Berwick, PA",14100,Micropolitan Statistical Area,65439
"Nacogdoches, TX",34860,Micropolitan Statistical Area,65375
"Marinette, WI-MI",31940,Micropolitan Statistical Area,65051
"Laconia, NH",29060,Micropolitan Statistical Area,65027
"Red Bluff, CA",39780,Micropolitan Statistical Area,64896
"Marion, OH",32020,Micropolitan Statistical Area,64851
"Crossville, TN",18900,Micropolitan Statistical Area,64760
"Coos Bay-North Bend, OR",18300,Micropolitan Statistical Area,64212
"Cedar City, UT",16260,Micropolitan Statistical Area,64211
"Mount Pleasant, MI",34380,Micropolitan Statistical Area,64118
"Roanoke Rapids, NC",40260,Micropolitan Statistical Area,64013
"Roswell, NM",40740,Micropolitan Statistical Area,63561
"Martinsville, VA",32300,Micropolitan Statistical Area,63465
"Mount Vernon, OH",34540,Micropolitan Statistical Area,63320
"Waynesville, NC",48200,Micropolitan Statistical Area,62969
"Paris, TX",37580,Micropolitan Statistical Area,62805
"Athens, OH",11900,Micropolitan Statistical Area,62706
"Enid, OK",21420,Metropolitan Statistical Area,62023
"Walla Walla, WA",47460,Metropolitan Statistical Area,61568
"Hutchinson, KS",26740,Micropolitan Statistical Area,61497
"Hemlock Farms, PA",25770,Micropolitan Statistical Area,61247
"Starkville, MS",44260,Micropolitan Statistical Area,61191
"Sturgis, MI",44780,Micropolitan Statistical Area,60878
"Fergus Falls, MN",22260,Micropolitan Statistical Area,60626
"Hudson, NY",26460,Micropolitan Statistical Area,60470
"Carlsbad-Artesia, NM",16100,Micropolitan Statistical Area,60275
"Rutland, VT",40860,Micropolitan Statistical Area,60271
"Barre, VT",12740,Micropolitan Statistical Area,60142
"Oneonta, NY",36580,Micropolitan Statistical Area,60126
"Calhoun, GA",15660,Micropolitan Statistical Area,59757
"Sayre, PA",42380,Micropolitan Statistical Area,59695
"Ontario, OR-ID",36620,Micropolitan Statistical Area,59323
"Dublin, GA",20140,Micropolitan Statistical Area,59223
"Salina, KS",41460,Micropolitan Statistical Area,58916
"Fremont, OH",23380,Micropolitan Statistical Area,58709
"Marietta, OH",31930,Micropolitan Statistical Area,58577
"Norwalk, OH",35940,Micropolitan Statistical Area,58199
"Kingsland, GA",28680,Micropolitan Statistical Area,58118
"Carson City, NV",16180,Metropolitan Statistical Area,58036
"Picayune, MS",38100,Micropolitan Statistical Area,57978
"Eagle Pass, TX",20580,Metropolitan Statistical Area,57762
"Palestine, TX",37300,Micropolitan Statistical Area,57736
"Batavia, NY",12860,Micropolitan Statistical Area,57529
"Kearney, NE",28260,Micropolitan Statistical Area,57467
"Henderson, KY",25775,Micropolitan Statistical Area,56845
"Branson, MO",14700,Micropolitan Statistical Area,56775
"Gaffney, SC",23500,Micropolitan Statistical Area,56714
"Waycross, GA",48180,Micropolitan Statistical Area,56668
"Mount Pleasant, TX",34420,Micropolitan Statistical Area,56423
"Durango, CO",20420,Micropolitan Statistical Area,56407
"Elko, NV",21220,Micropolitan Statistical Area,56210
"Clewiston, FL",17500,Micropolitan Statistical Area,56119
"Fairmont, WV",21900,Micropolitan Statistical Area,55807
"Danville, KY",19220,Micropolitan Statistical Area,55764
"Pahrump, NV",37220,Micropolitan Statistical Area,55720
"Enterprise, AL",21460,Micropolitan Statistical Area,55643
"Corsicana, TX",18620,Micropolitan Statistical Area,55635
"Glasgow, KY",23980,Micropolitan Statistical Area,55490
"Warrensburg, MO",47660,Micropolitan Statistical Area,54962
"Kinston, NC",28820,Micropolitan Statistical Area,54895
"Boone, NC",14380,Micropolitan Statistical Area,54748
"Tiffin, OH",45660,Micropolitan Statistical Area,54527
"Sterling, IL",44580,Micropolitan Statistical Area,54498
"Edwards, CO",20780,Micropolitan Statistical Area,54381
"Sonora, CA",43760,Micropolitan Statistical Area,54204
"Ocean Pines, MD",36180,Micropolitan Statistical Area,54171
"Payson, AZ",37740,Micropolitan Statistical Area,54003
"Kerrville, TX",28500,Micropolitan Statistical Area,53915
"Fort Leonard Wood, MO",22780,Micropolitan Statistical Area,53812
"Bartlesville, OK",12780,Micropolitan Statistical Area,53706
"Scottsboro, AL",42460,Micropolitan Statistical Area,53467
"Natchez, MS-LA",35020,Micropolitan Statistical Area,53375
"McComb, MS",32620,Micropolitan Statistical Area,53257
"Shelbyville, TN",43180,Micropolitan Statistical Area,53055
"Sandpoint, ID",41760,Micropolitan Statistical Area,52547
"Gloversville, NY",24100,Micropolitan Statistical Area,52234
"Jacksonville, TX",27380,Micropolitan Statistical Area,52217
"Ashland, OH",11740,Micropolitan Statistical Area,52190
"Carbondale, IL",16060,Micropolitan Statistical Area,52141
"Douglas, GA",20060,Micropolitan Statistical Area,51610
"Greenville, OH",24820,Micropolitan Statistical Area,51415
"Platteville, WI",38420,Micropolitan Statistical Area,51409
"Rochelle, IL",40300,Micropolitan Statistical Area,51265
"Newport, OR",35440,Micropolitan Statistical Area,50821
"Gardnerville Ranchos, NV-CA",23820,Micropolitan Statistical Area,50686
"Tifton, GA",45700,Micropolitan Statistical Area,50463
"Blackfoot, ID",13940,Micropolitan Statistical Area,50395
"Ca�on City, CO",15860,Micropolitan Statistical Area,50318
"Ozark, AL",37120,Micropolitan Statistical Area,49871
"Winona, MN",49100,Micropolitan Statistical Area,49721
"Sikeston, MO",43460,Micropolitan Statistical Area,49711
"Mason City, IA",32380,Micropolitan Statistical Area,49703
"Cadillac, MI",15620,Micropolitan Statistical Area,49433
"Oil City, PA",36340,Micropolitan Statistical Area,49431
"Amsterdam, NY",11220,Micropolitan Statistical Area,49368
"Nogales, AZ",35700,Micropolitan Statistical Area,49158
"Durant, OK",20460,Micropolitan Statistical Area,48967
"New Castle, IN",35220,Micropolitan Statistical Area,48929
"Norfolk, NE",35740,Micropolitan Statistical Area,48782
"Cornelia, GA",18460,Micropolitan Statistical Area,48757
"Ardmore, OK",11620,Micropolitan Statistical Area,48596
"Galesburg, IL",23660,Micropolitan Statistical Area,48411
"Tahlequah, OK",45140,Micropolitan Statistical Area,48185
"Burley, ID",15420,Micropolitan Statistical Area,48176
"Red Wing, MN",39860,Micropolitan Statistical Area,48035
"Pullman, WA",39420,Micropolitan Statistical Area,48012
"Ruston, LA",40820,Micropolitan Statistical Area,47962
"Mount Sterling, KY",34460,Micropolitan Statistical Area,47788
"Sidney, OH",43380,Micropolitan Statistical Area,47765
"Del Rio, TX",19620,Micropolitan Statistical Area,47720
"Gillette, WY",23940,Micropolitan Statistical Area,47498
"Kendallville, IN",28340,Micropolitan Statistical Area,47430
"Morgan City, LA",34020,Micropolitan Statistical Area,47055
"Rice Lake, WI",39960,Micropolitan Statistical Area,46833
"Paragould, AR",37500,Micropolitan Statistical Area,46743
"Bemidji, MN",13420,Micropolitan Statistical Area,46718
"Seymour, IN",42980,Micropolitan Statistical Area,46460
"Plymouth, IN",38500,Micropolitan Statistical Area,46352
"Moultrie, GA",34220,Micropolitan Statistical Area,46167
"Clinton, IA",17540,Micropolitan Statistical Area,46158
"Sparta, WI",43890,Micropolitan Statistical Area,46151
"Lawrenceburg, TN",29980,Micropolitan Statistical Area,46114
"Charleston-Mattoon, IL",16660,Micropolitan Statistical Area,46060
"Bellefontaine, OH",13340,Micropolitan Statistical Area,46057
"Wapakoneta, OH",47540,Micropolitan Statistical Area,46050
"Brattleboro, VT",14710,Micropolitan Statistical Area,45966
"Lewistown, PA",30380,Micropolitan Statistical Area,45922
"Menomonie, WI",32860,Micropolitan Statistical Area,45794
"Cortland, NY",18660,Micropolitan Statistical Area,45752
"Harrison, AR",25460,Micropolitan Statistical Area,45601
"Hillsdale, MI",25880,Micropolitan Statistical Area,45587
"Alice, TX",10860,Micropolitan Statistical Area,45510
"Ellensburg, WA",21260,Micropolitan Statistical Area,45508
"Grand Rapids, MN",24330,Micropolitan Statistical Area,45365
"Shawano, WI",43020,Micropolitan Statistical Area,45335
"Rolla, MO",40620,Micropolitan Statistical Area,45284
"Coldwater, MI",17740,Micropolitan Statistical Area,45215
"Columbus, NE",18100,Micropolitan Statistical Area,45175
"Bedford, IN",13260,Micropolitan Statistical Area,45084
"Madisonville, KY",31580,Micropolitan Statistical Area,44929
"Marion, NC",32000,Micropolitan Statistical Area,44893
"Bogalusa, LA",14220,Micropolitan Statistical Area,44865
"Winchester, TN",49010,Micropolitan Statistical Area,44654
"Effingham, IL",20820,Micropolitan Statistical Area,44592
"Washington, NC",47820,Micropolitan Statistical Area,44481
"Burlington, IA-IL",15460,Micropolitan Statistical Area,44341
"Cedartown, GA",16340,Micropolitan Statistical Area,44223
"Auburn, IN",12140,Micropolitan Statistical Area,44198
"Stephenville, TX",44500,Micropolitan Statistical Area,44195
"Montrose, CO",33940,Micropolitan Statistical Area,44156
"Duncan, OK",20340,Micropolitan Statistical Area,44014
"Willmar, MN",48820,Micropolitan Statistical Area,43813
"Gainesville, TX",23620,Micropolitan Statistical Area,43782
"Ponca City, OK",38620,Micropolitan Statistical Area,43641
"Jasper, IN",27540,Micropolitan Statistical Area,43546
"Sedalia, MO",42740,Micropolitan Statistical Area,43530
"Huntingdon, PA",26500,Micropolitan Statistical Area,43514
"McAlester, OK",32540,Micropolitan Statistical Area,43479
"Milledgeville, GA",33300,Micropolitan Statistical Area,43396
"Freeport, IL",23300,Micropolitan Statistical Area,43105
"Mountain Home, AR",34260,Micropolitan Statistical Area,42875
"McMinnville, TN",32660,Micropolitan Statistical Area,42638
"Celina, OH",16380,Micropolitan Statistical Area,42439
"Rockingham, NC",40460,Micropolitan Statistical Area,42324
"Henderson, NC",25780,Micropolitan Statistical Area,42301
"Vicksburg, MS",46980,Micropolitan Statistical Area,42298
"Muscatine, IA",34700,Micropolitan Statistical Area,42218
"Lewisburg, PA",30260,Micropolitan Statistical Area,42042
"Poplar Bluff, MO",38740,Micropolitan Statistical Area,41948
"Greenville, MS",24740,Micropolitan Statistical Area,41946
"Wilmington, OH",48940,Micropolitan Statistical Area,41938
"Aberdeen, SD",10100,Micropolitan Statistical Area,41790
"El Campo, TX",20900,Micropolitan Statistical Area,41739
"Bucyrus, OH",15340,Micropolitan Statistical Area,41529
"Elizabeth City, NC",21020,Micropolitan Statistical Area,41444
"Okeechobee, FL",36380,Micropolitan Statistical Area,41427
"Alma, MI",10940,Micropolitan Statistical Area,41368
"Moscow, ID",34140,Micropolitan Statistical Area,41301
"Rock Springs, WY",40540,Micropolitan Statistical Area,41249
"Astoria, OR",11820,Micropolitan Statistical Area,41102
"Big Rapids, MI",13660,Micropolitan Statistical Area,41099
"West Plains, MO",48460,Micropolitan Statistical Area,40735
"Alexander City, AL",10760,Micropolitan Statistical Area,40677
"Hastings, NE",25580,Micropolitan Statistical Area,40366
"Austin, MN",12380,Micropolitan Statistical Area,40058
"Marshalltown, IA",32260,Micropolitan Statistical Area,40014
"Alexandria, MN",10820,Micropolitan Statistical Area,39953
"Espa�ola, NM",21580,Micropolitan Statistical Area,39876
"Riverton, WY",40180,Micropolitan Statistical Area,39815
"Houghton, MI",26340,Micropolitan Statistical Area,39771
"Selinsgrove, PA",42780,Micropolitan Statistical Area,39717
"Safford, AZ",40940,Micropolitan Statistical Area,39525
"Bradford, PA",14620,Micropolitan Statistical Area,39519
"Williston, ND",48780,Micropolitan Statistical Area,39113
"Weatherford, OK",48220,Micropolitan Statistical Area,39002
"Urbana, OH",46500,Micropolitan Statistical Area,38845
"Hannibal, MO",25300,Micropolitan Statistical Area,38825
"Newberry, SC",35140,Micropolitan Statistical Area,38825
"Pittsburg, KS",38260,Micropolitan Statistical Area,38764
"Brownwood, TX",15220,Micropolitan Statistical Area,38709
"Blytheville, AR",14180,Micropolitan Statistical Area,38663
"Lake of the Woods, VA",29470,Micropolitan Statistical Area,38574
"Crawfordsville, IN",18820,Micropolitan Statistical Area,38573
"Ada, OK",10220,Micropolitan Statistical Area,38396
"Steamboat Springs, CO",44460,Micropolitan Statistical Area,38391
"Batesville, AR",12900,Micropolitan Statistical Area,38320
"Defiance, OH",19580,Micropolitan Statistical Area,38315
"Murray, KY",34660,Micropolitan Statistical Area,38280
"Laramie, WY",29660,Micropolitan Statistical Area,38257
"Sulphur Springs, TX",44860,Micropolitan Statistical Area,38172
"Kill Devil Hills, NC",28620,Micropolitan Statistical Area,38110
"Cambridge, OH",15740,Micropolitan Statistical Area,38089
"Dickinson, ND",19860,Micropolitan Statistical Area,38054
"Campbellsville, KY",15820,Micropolitan Statistical Area,37911
"Breckenridge, CO",14720,Micropolitan Statistical Area,37830
"Easton, MD",20660,Micropolitan Statistical Area,37823
"Vernal, UT",46860,Micropolitan Statistical Area,37747
"Logansport, IN",30900,Micropolitan Statistical Area,37666
"Lock Haven, PA",30820,Micropolitan Statistical Area,37607
"Warren, PA",47620,Micropolitan Statistical Area,37572
"Bonham, TX",14300,Micropolitan Statistical Area,37571
"Greencastle, IN",24600,Micropolitan Statistical Area,37567
"Garden City, KS",23780,Micropolitan Statistical Area,37466
"Owatonna, MN",36940,Micropolitan Statistical Area,37421
"Newport, TN",35460,Micropolitan Statistical Area,37404
"El Dorado, AR",20980,Micropolitan Statistical Area,37397
"Fremont, NE",23340,Micropolitan Statistical Area,37187
"Bennington, VT",13540,Micropolitan Statistical Area,37183
"Brenham, TX",14780,Micropolitan Statistical Area,37007
"Lewisburg, TN",30280,Micropolitan Statistical Area,36961
"Coshocton, OH",18740,Micropolitan Statistical Area,36869
"Plainview, TX",38380,Micropolitan Statistical Area,36851
"Jacksonville, IL",27300,Micropolitan Statistical Area,36850
"DeRidder, LA",19760,Micropolitan Statistical Area,36827
"Escanaba, MI",21540,Micropolitan Statistical Area,36790
"Hutchinson, MN",26780,Micropolitan Statistical Area,36785
"Huntington, IN",26540,Micropolitan Statistical Area,36781
"Lebanon, MO",30060,Micropolitan Statistical Area,36680
"Centralia, IL",16460,Micropolitan Statistical Area,36673
"Dyersburg, TN",20540,Micropolitan Statistical Area,36498
"Fort Dodge, IA",22700,Micropolitan Statistical Area,36485
"Mayfield, KY",32460,Micropolitan Statistical Area,36461
"Scottsbluff, NE",42420,Micropolitan Statistical Area,36373
"Butte-Silver Bow, MT",15580,Micropolitan Statistical Area,36360
"Bay City, TX",13060,Micropolitan Statistical Area,36359
"Mount Vernon, IL",34500,Micropolitan Statistical Area,36320
"Natchitoches, LA",35060,Micropolitan Statistical Area,36291
"Decatur, IN",19540,Micropolitan Statistical Area,36288
"Sault Ste. Marie, MI",42300,Micropolitan Statistical Area,36264
"Fayetteville, TN",22190,Micropolitan Statistical Area,36169
"Selma, AL",42820,Micropolitan Statistical Area,36165
"Vincennes, IN",47180,Micropolitan Statistical Area,36070
"Brookings, SD",15100,Micropolitan Statistical Area,35980
"Arcadia, FL",11580,Micropolitan Statistical Area,35979
"Greenwood, MS",24900,Micropolitan Statistical Area,35913
"Vidalia, GA",47080,Micropolitan Statistical Area,35801
"Jackson, WY-ID",27220,Micropolitan Statistical Area,35781
"Peru, IN",37940,Micropolitan Statistical Area,35402
"Pontiac, IL",38700,Micropolitan Statistical Area,35320
"Detroit Lakes, MN",19810,Micropolitan Statistical Area,35283
"Minden, LA",33380,Micropolitan Statistical Area,35238
"Ottumwa, IA",36900,Micropolitan Statistical Area,35166
"Angola, IN",11420,Micropolitan Statistical Area,34917
"Emporia, KS",21380,Micropolitan Statistical Area,34751
"Brookhaven, MS",15020,Micropolitan Statistical Area,34702
"Taos, NM",45340,Micropolitan Statistical Area,34405
"Laurinburg, NC",29900,Micropolitan Statistical Area,34376
"Arkansas City-Winfield, KS",11680,Micropolitan Statistical Area,34157
"Corinth, MS",18420,Micropolitan Statistical Area,34135
"Petoskey, MI",37950,Micropolitan Statistical Area,34123
"North Platte, NE",35820,Micropolitan Statistical Area,34020
"Dodge City, KS",19980,Micropolitan Statistical Area,33980
"Pella, IA",37800,Micropolitan Statistical Area,33770
"Port Townsend, WA",39040,Micropolitan Statistical Area,33714
"Washington, IN",47780,Micropolitan Statistical Area,33656
"Dixon, IL",19940,Micropolitan Statistical Area,33654
"Brevard, NC",14820,Micropolitan Statistical Area,33549
"Americus, GA",11140,Micropolitan Statistical Area,33416
"Malvern, AR",31680,Micropolitan Statistical Area,33258
"Taylorville, IL",45380,Micropolitan Statistical Area,33228
"Troy, AL",45980,Micropolitan Statistical Area,33137
"Martin, TN",32280,Micropolitan Statistical Area,33084
"Madison, IN",31500,Micropolitan Statistical Area,33056
"Cambridge, MD",15700,Micropolitan Statistical Area,32879
"Frankfort, IN",23140,Micropolitan Statistical Area,32730
"Fort Madison, IA",22800,Micropolitan Statistical Area,32565
"Paris, TN",37540,Micropolitan Statistical Area,32554
"Canton, IL",15900,Micropolitan Statistical Area,32541
"Sheridan, WY",43260,Micropolitan Statistical Area,32519
"Seneca Falls, NY",42900,Micropolitan Statistical Area,32349
"Russellville, AL",40770,Micropolitan Statistical Area,31802
"Hailey, ID",25200,Micropolitan Statistical Area,31723
"Juneau, AK",27940,Micropolitan Statistical Area,31555
"Jesup, GA",27700,Micropolitan Statistical Area,31373
"Beeville, TX",13300,Micropolitan Statistical Area,30850
"Las Vegas, NM",29780,Micropolitan Statistical Area,30791
"Cody, WY",17650,Micropolitan Statistical Area,30735
"Wabash, IN",47340,Micropolitan Statistical Area,30670
"Grenada, MS",24980,Micropolitan Statistical Area,30665
"Iron Mountain, MI-WI",27020,Micropolitan Statistical Area,30664
"Big Spring, TX",13700,Micropolitan Statistical Area,30554
"Albert Lea, MN",10660,Micropolitan Statistical Area,30515
"Union City, TN",46460,Micropolitan Statistical Area,30411
"Miami, OK",33060,Micropolitan Statistical Area,30287
"St. Marys, PA",41260,Micropolitan Statistical Area,30198
"McPherson, KS",32700,Micropolitan Statistical Area,30091
"Kingsville, TX",28780,Micropolitan Statistical Area,30069
"Mineral Wells, TX",33420,Micropolitan Statistical Area,29747
"Mountain Home, ID",34300,Micropolitan Statistical Area,29724
"Fort Morgan, CO",22820,Micropolitan Statistical Area,29524
"Kirksville, MO",28860,Micropolitan Statistical Area,29175
"Ludington, MI",31220,Micropolitan Statistical Area,29159
"Bainbridge, GA",12460,Micropolitan Statistical Area,29087
"Gallipolis, OH",23680,Micropolitan Statistical Area,28986
"Watertown, SD",47980,Micropolitan Statistical Area,28971
"Cleveland, MS",17380,Micropolitan Statistical Area,28968
"Alpena, MI",10980,Micropolitan Statistical Area,28904
"Susanville, CA",45000,Micropolitan Statistical Area,28861
"Washington Court House, OH",47920,Micropolitan Statistical Area,28817
"Hays, KS",25700,Micropolitan Statistical Area,28810
"Van Wert, OH",46780,Micropolitan Statistical Area,28704
"Thomaston, GA",45580,Micropolitan Statistical Area,28263
"Spearfish, SD",43940,Micropolitan Statistical Area,28053
"Alamosa, CO",10480,Micropolitan Statistical Area,27804
"Fredericksburg, TX",23240,Micropolitan Statistical Area,27733
"Lincoln, IL",30660,Micropolitan Statistical Area,27590
"Silver City, NM",43500,Micropolitan Statistical Area,27472
"Elkins, WV",21180,Micropolitan Statistical Area,27350
"Toccoa, GA",45740,Micropolitan Statistical Area,27228
"Kennett, MO",28380,Micropolitan Statistical Area,27032
"Eufaula, AL-GA",21640,Micropolitan Statistical Area,26865
"Macomb, IL",31380,Micropolitan Statistical Area,26839
"Crescent City, CA",18860,Micropolitan Statistical Area,26589
"Camden, AR",15780,Micropolitan Statistical Area,26434
"Greensburg, IN",24700,Micropolitan Statistical Area,26399
"The Dalles, OR",45520,Micropolitan Statistical Area,26333
"Ottawa, KS",36840,Micropolitan Statistical Area,26125
"La Grande, OR",29260,Micropolitan Statistical Area,25944
"Lexington, NE",30420,Micropolitan Statistical Area,25932
"Fallon, NV",21980,Micropolitan Statistical Area,25803
"Mitchell, SD",33580,Micropolitan Statistical Area,25792
"Le Mars, IA",30180,Micropolitan Statistical Area,25722
"New Ulm, MN",35580,Micropolitan Statistical Area,25628
"Marshall, MN",32140,Micropolitan Statistical Area,25427
"Deming, NM",19700,Micropolitan Statistical Area,25316
"Summerville, GA",44900,Micropolitan Statistical Area,25222
"Uvalde, TX",46620,Micropolitan Statistical Area,24960
"Monticello, IN",33900,Micropolitan Statistical Area,24917
"Great Bend, KS",24460,Micropolitan Statistical Area,24899
"Altus, OK",11060,Micropolitan Statistical Area,24669
"Mexico, MO",33020,Micropolitan Statistical Area,24394
"Moberly, MO",33620,Micropolitan Statistical Area,24109
"Hood River, OR",26220,Micropolitan Statistical Area,23745
"Yankton, SD",49460,Micropolitan Statistical Area,23517
"Evanston, WY-UT",21740,Micropolitan Statistical Area,23415
"Connersville, IN",18220,Micropolitan Statistical Area,23362
"Middlesborough, KY",33180,Micropolitan Statistical Area,23317
"Brookings, OR",15060,Micropolitan Statistical Area,23296
"Marshall, MO",32180,Micropolitan Statistical Area,23049
"Wahpeton, ND-MN",47420,Micropolitan Statistical Area,22864
"Magnolia, AR",31620,Micropolitan Statistical Area,22150
"Forrest City, AR",22620,Micropolitan Statistical Area,22101
"Elk City, OK",21120,Micropolitan Statistical Area,22042
"Oskaloosa, IA",36820,Micropolitan Statistical Area,21874
"Pampa, TX",37420,Micropolitan Statistical Area,21756
"Worthington, MN",49380,Micropolitan Statistical Area,21727
"Beatrice, NE",13100,Micropolitan Statistical Area,21634
"Jamestown, ND",27420,Micropolitan Statistical Area,21392
"Arkadelphia, AR",11660,Micropolitan Statistical Area,21274
"Dumas, TX",20300,Micropolitan Statistical Area,21190
"Liberal, KS",30580,Micropolitan Statistical Area,21067
"Othello, WA",36830,Micropolitan Statistical Area,20820
"Vineyard Haven, MA",47240,Micropolitan Statistical Area,20819
"Maryville, MO",32340,Micropolitan Statistical Area,20695
"Pierre, SD",38180,Micropolitan Statistical Area,20667
"Sterling, CO",44540,Micropolitan Statistical Area,20619
"Price, UT",39220,Micropolitan Statistical Area,20609
"Storm Lake, IA",44740,Micropolitan Statistical Area,20567
"Carroll, IA",16140,Micropolitan Statistical Area,20522
"Guymon, OK",25100,Micropolitan Statistical Area,20371
"Franklin, KY",23190,Micropolitan Statistical Area,20195
"Clarksdale, MS",17260,Micropolitan Statistical Area,20077
"Raymondville, TX",39700,Micropolitan Statistical Area,20037
"Borger, TX",14420,Micropolitan Statistical Area,20033
"Ruidoso, NM",40760,Micropolitan Statistical Area,20029
"Woodward, OK",49260,Micropolitan Statistical Area,19947
"Port Lavaca, TX",38920,Micropolitan Statistical Area,19696
"Fairmont, MN",21860,Micropolitan Statistical Area,19657
"Cordele, GA",18380,Micropolitan Statistical Area,19631
"Huron, SD",26700,Micropolitan Statistical Area,19591
"Los Alamos, NM",31060,Micropolitan Statistical Area,19444
