Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"Boise City, ID",14260,Metropolitan Statistical Area,824657
"Lakeland-Winter Haven, FL",29460,Metropolitan Statistical Area,818330
"Dayton-Kettering-Beavercreek, OH",19430,Metropolitan Statistical Area,814363
"Stockton-Lodi, CA",44700,Metropolitan Statistical Area,800965
"Greensboro-High Point, NC",24660,Metropolitan Statistical Area,789842
"Colorado Springs, CO",17820,Metropolitan Statistical Area,768832
"Little Rock-North Little Rock-Conway, AR",30780,Metropolitan Statistical Area,764045
"Des Moines-West Des Moines, IA",19780,Metropolitan Statistical Area,737164
"Provo-Orem-Lehi, UT",39340,Metropolitan Statistical Area,732197
"Deltona-Daytona Beach-Ormond Beach, FL",19660,Metropolitan Statistical Area,721796
"Kiryas Joel-Poughkeepsie-Newburgh, NY",28880,Metropolitan Statistical Area,704620
"Akron, OH",10420,Metropolitan Statistical Area,698398
"Winston-Salem, NC",49180,Metropolitan Statistical Area,695630
"Madison, WI",31540,Metropolitan Statistical Area,694345
"Ogden, UT",36260,Metropolitan Statistical Area,658133
"Syracuse, NY",45060,Metropolitan Statistical Area,652956
"Wichita, KS",48620,Metropolitan Statistical Area,652939
"Palm Bay-Melbourne-Titusville, FL",37340,Metropolitan Statistical Area,643979
"Augusta-Richmond County, GA-SC",12260,Metropolitan Statistical Area,629429
"Jackson, MS",27140,Metropolitan Statistical Area,610257
"Durham-Chapel Hill, NC",20500,Metropolitan Statistical Area,608879
"Harrisburg-Carlisle, PA",25420,Metropolitan Statistical Area,606055
"Spokane-Spokane Valley, WA",44060,Metropolitan Statistical Area,600292
"Toledo, OH",45780,Metropolitan Statistical Area,600141
"Fayetteville-Springdale-Rogers, AR",22220,Metropolitan Statistical Area,590337
"Chattanooga, TN-GA",16860,Metropolitan Statistical Area,580971
"Scranton--Wilkes-Barre, PA",42540,Metropolitan Statistical Area,569413
"New Haven, CT",35300,Metropolitan Statistical Area,568158
"Portland-South Portland, ME",38860,Metropolitan Statistical Area,566329
"Reno, NV",39900,Metropolitan Statistical Area,564782
"Lancaster, PA",29540,Metropolitan Statistical Area,558589
"Modesto, CA",33700,Metropolitan Statistical Area,551430
"Port St. Lucie, FL",38940,Metropolitan Statistical Area,536901
"Pensacola-Ferry Pass-Brent, FL",37860,Metropolitan Statistical Area,530090
"Huntsville, AL",26620,Metropolitan Statistical Area,527254
"Lexington-Fayette, KY",30460,Metropolitan Statistical Area,520045
"Killeen-Temple, TX",28660,Metropolitan Statistical Area,501333
"Springfield, MO",44180,Metropolitan Statistical Area,491053
"Santa Rosa-Petaluma, CA",42220,Metropolitan Statistical Area,481812
"Visalia, CA",47300,Metropolitan Statistical Area,479468
"Lansing-East Lansing, MI",29620,Metropolitan Statistical Area,473177
"Wilmington, NC",48900,Metropolitan Statistical Area,467337
"York-Hanover, PA",49620,Metropolitan Statistical Area,464640
"Springfield, MA",44140,Metropolitan Statistical Area,460291
"Fort Wayne, IN",23060,Metropolitan Statistical Area,457842
"Waterbury-Shelton, CT",47930,Metropolitan Statistical Area,456128
"Vallejo, CA",46700,Metropolitan Statistical Area,449218
"Corpus Christi, TX",18580,Metropolitan Statistical Area,448323
"Santa Maria-Santa Barbara, CA",42200,Metropolitan Statistical Area,441257
"Salem, OR",41420,Metropolitan Statistical Area,436546
"Reading, PA",39740,Metropolitan Statistical Area,432821
"Salinas, CA",41500,Metropolitan Statistical Area,430723
"Manchester-Nashua, NH",31700,Metropolitan Statistical Area,427354
"Brownsville-Harlingen, TX",15180,Metropolitan Statistical Area,426710
"Youngstown-Warren, OH",49660,Metropolitan Statistical Area,425969
"Savannah, GA",42340,Metropolitan Statistical Area,424935
"Gulfport-Biloxi, MS",25060,Metropolitan Statistical Area,421916
"Asheville, NC",11700,Metropolitan Statistical Area,417202
"Lafayette, LA",29180,Metropolitan Statistical Area,414288
"Mobile, AL",33660,Metropolitan Statistical Area,411640
"Ocala, FL",36100,Metropolitan Statistical Area,409959
"Naples-Marco Island, FL",34940,Metropolitan Statistical Area,404310
"Flint, MI",22420,Metropolitan Statistical Area,401522
"Anchorage, AK",11260,Metropolitan Statistical Area,401314
"Canton-Massillon, OH",15940,Metropolitan Statistical Area,399474
"Myrtle Beach-Conway-North Myrtle Beach, SC",34820,Metropolitan Statistical Area,397478
"Beaumont-Port Arthur, TX",13140,Metropolitan Statistical Area,395479
"Tallahassee, FL",45220,Metropolitan Statistical Area,392645
"Fayetteville, NC",22180,Metropolitan Statistical Area,392336
"Montgomery, AL",33860,Metropolitan Statistical Area,385480
"Spartanburg, SC",43900,Metropolitan Statistical Area,383327
"Shreveport-Bossier City, LA",43340,Metropolitan Statistical Area,383295
"Trenton-Princeton, NJ",45940,Metropolitan Statistical Area,381671
"Eugene-Springfield, OR",21660,Metropolitan Statistical Area,381181
"Davenport-Moline-Rock Island, IA-IL",19340,Metropolitan Statistical Area,379441
"Fort Collins-Loveland, CO",22660,Metropolitan Statistical Area,370771
"Hickory-Lenoir-Morganton, NC",25860,Metropolitan Statistical Area,370030
"Atlantic City-Hammonton, NJ",12100,Metropolitan Statistical Area,369823
"Huntington-Ashland, WV-KY-OH",26580,Metropolitan Statistical Area,368261
"Ann Arbor, MI",11460,Metropolitan Statistical Area,365536
"Peoria, IL",37900,Metropolitan Statistical Area,362240
"Lubbock, TX",31180,Metropolitan Statistical Area,360104
"Greeley, CO",24540,Metropolitan Statistical Area,359442
"Gainesville, FL",23540,Metropolitan Statistical Area,352126
"Lincoln, NE",30700,Metropolitan Statistical Area,344387
"Clarksville, TN-KY",17300,Metropolitan Statistical Area,340495
"Rockford, IL",40420,Metropolitan Statistical Area,334124
"Green Bay, WI",24580,Metropolitan Statistical Area,331882
"Boulder, CO",14500,Metropolitan Statistical Area,326831
"South Bend-Mishawaka, IN-MI",43780,Metropolitan Statistical Area,324490
"Columbus, GA-AL",17980,Metropolitan Statistical Area,323768
"Roanoke, VA",40220,Metropolitan Statistical Area,314314
"Kennewick-Richland, WA",28420,Metropolitan Statistical Area,314253
"Kingsport-Bristol, TN-VA",28700,Metropolitan Statistical Area,313025
"Hagerstown-Martinsburg, MD-WV",25180,Metropolitan Statistical Area,305902
"Waco, TX",47380,Metropolitan Statistical Area,304865
"Crestview-Fort Walton Beach-Destin, FL",18880,Metropolitan Statistical Area,304818
"Sioux Falls, SD-MN",43620,Metropolitan Statistical Area,304555
"Olympia-Lacey-Tumwater, WA",36500,Metropolitan Statistical Area,299003
"Longview, TX",30980,Metropolitan Statistical Area,293498
"Merced, CA",32900,Metropolitan Statistical Area,291920
"Utica-Rome, NY",46540,Metropolitan Statistical Area,287039
"San Luis Obispo-Paso Robles, CA",42020,Metropolitan Statistical Area,281639
"Duluth, MN-WI",20260,Metropolitan Statistical Area,281603
"College Station-Bryan, TX",17780,Metropolitan Statistical Area,281445
"Norwich-New London-Willimantic, CT",35980,Metropolitan Statistical Area,279634
"Tuscaloosa, AL",46220,Metropolitan Statistical Area,278290
"Bremerton-Silverdale-Port Orchard, WA",14740,Metropolitan Statistical Area,277658
"Cedar Rapids, IA",16300,Metropolitan Statistical Area,275668
"Slidell-Mandeville-Covington, LA",43640,Metropolitan Statistical Area,275583
"Amarillo, TX",11100,Metropolitan Statistical Area,272395
"Evansville, IN",21780,Metropolitan Statistical Area,270717
"Laredo, TX",29700,Metropolitan Statistical Area,269148
"Erie, PA",21500,Metropolitan Statistical Area,267571
"Lynchburg, VA",31340,Metropolitan Statistical Area,264590
"Seaford, DE",42580,Micropolitan Statistical Area,263509
"Fargo, ND-MN",22020,Metropolitan Statistical Area,262620
"Kalamazoo-Portage, MI",28020,Metropolitan Statistical Area,262215
"Santa Cruz-Watsonville, CA",42100,Metropolitan Statistical Area,261547
"Bend, OR",13460,Metropolitan Statistical Area,260919
"Yakima, WA",49420,Metropolitan Statistical Area,256643
"Daphne-Fairhope-Foley, AL",19300,Metropolitan Statistical Area,253507
"Prescott Valley-Prescott, AZ",39150,Metropolitan Statistical Area,249081
"Appleton, WI",11540,Metropolitan Statistical Area,246433
"Tyler, TX",46340,Metropolitan Statistical Area,245209
"Binghamton, NY",13780,Metropolitan Statistical Area,243792
"Lake Charles, LA",29340,Metropolitan Statistical Area,240082
"Macon-Bibb County, GA",31420,Metropolitan Statistical Area,236074
"Champaign-Urbana, IL",16580,Metropolitan Statistical Area,235608
"Hilton Head Island-Bluffton-Port Royal, SC",25940,Metropolitan Statistical Area,232523
"Topeka, KS",45820,Metropolitan Statistical Area,232322
"Bellingham, WA",13380,Metropolitan Statistical Area,231919
"Barnstable Town, MA",12700,Metropolitan Statistical Area,231735
"Fort Smith, AR-OK",22900,Metropolitan Statistical Area,231280
"Rochester, MN",40340,Metropolitan Statistical Area,229077
"Burlington-South Burlington, VT",15540,Metropolitan Statistical Area,227942
"Lafayette-West Lafayette, IN",29200,Metropolitan Statistical Area,226564
"Las Cruces, NM",29740,Metropolitan Statistical Area,225210
"Lebanon-Claremont, NH-VT",30150,Micropolitan Statistical Area,225159
"Charlottesville, VA",16820,Metropolitan Statistical Area,225127
"Lake Havasu City-Kingman, AZ",29420,Metropolitan Statistical Area,223682
"Athens-Clarke County, GA",12020,Metropolitan Statistical Area,222060
"Monroe, LA",33740,Metropolitan Statistical Area,221885
