period_date,fips_code,county_name,state_fips,region_code,division_code,sf_buildings,sf_units,sf_value,duplex_buildings,duplex_units,duplex_value,small_multi_buildings,small_multi_units,small_multi_value,large_multi_buildings,large_multi_units,large_multi_value,total_buildings,total_units,total_value,sf_units_yoy,total_units_yoy
2025-09-01,15,,15,4,9,127,127,55400956,3,6,890318,0,0,0,0,0,0,130,133,56291274,-22.56,-43.64
2025-10-01,15,,15,4,9,139,139,44870895,9,18,2860326,0,0,0,2,101,32280388,150,258,80011609,-41.1,-19.37
2025-11-01,15,,15,4,9,137,137,62478397,0,0,0,0,0,0,10,96,17270800,147,233,79749197,-50.18,-46.8
2025-12-01,15,,15,4,9,177,177,73679518,6,12,1893442,0,0,0,3,131,44919449,186,320,120492409,-16.9,7.02
2024-01-01,16,,16,4,8,891,891,244720378,12,24,4489066,29,111,17590640,9,68,7466610,941,1094,274266694,,
2024-02-01,16,,16,4,8,1059,1059,270624382,3,6,1783810,11,40,5552688,12,134,42270312,1085,1239,320231192,,
2024-03-01,16,,16,4,8,1083,1083,315484883,8,16,2274373,11,40,5624142,14,294,48149043,1116,1433,371532441,,
2024-04-01,16,,16,4,8,1323,1323,393627839,6,12,1642863,21,78,9504014,7,130,11056667,1357,1543,415831383,,
2024-05-01,16,,16,4,8,1509,1509,404309947,20,40,6174074,12,42,6598786,10,181,32330874,1551,1772,449413681,,
2024-06-01,16,,16,4,8,1254,1254,380305063,10,20,2819489,13,48,6536204,7,92,11376707,1284,1414,401037463,,
2024-07-01,16,,16,4,8,1357,1357,403522596,19,38,6202868,7,23,2674834,4,32,4324692,1387,1450,416724990,,
2024-08-01,16,,16,4,8,1359,1359,365892490,24,48,8680167,4,13,1369558,10,182,27517933,1397,1602,403460148,,
2024-09-01,16,,16,4,8,1302,1302,379698884,9,18,1667144,6,21,3618410,15,295,44617945,1332,1636,429602383,,
2024-10-01,16,,16,4,8,1372,1372,376805364,9,18,3754317,3,10,1550805,12,306,47858747,1396,1706,429969233,,
2024-11-01,16,,16,4,8,1026,1026,284011374,6,12,2011959,3,10,2510417,13,349,52558719,1048,1397,341092469,,
2024-12-01,16,,16,4,8,921,921,246428528,8,16,3803010,2,7,1731817,13,250,25427197,944,1194,277390552,,
2025-01-01,16,,16,4,8,990,990,275378874,9,18,3067315,5,19,3612824,7,122,16002834,1011,1149,298061847,11.11,5.03
2025-02-01,16,,16,4,8,901,901,266139788,19,38,2792021,10,39,3525667,6,107,17108925,936,1085,289566401,-14.92,-12.43
2025-03-01,16,,16,4,8,1272,1272,385991655,16,32,5184901,1,3,1256817,27,586,103194091,1316,1893,495627464,,
2025-04-01,16,,16,4,8,1380,1380,426178281,19,38,7001298,10,35,5782786,19,477,74660035,1428,1930,513622400,4.31,25.08
2025-05-01,16,,16,4,8,1326,1326,411912637,26,52,8395935,3,10,2519317,18,248,28210430,1373,1636,451038319,-12.13,-7.67
2025-06-01,16,,16,4,8,1449,1449,436912521,11,22,5035313,16,63,6133405,11,184,25377642,1487,1718,473458881,15.55,21.5
2025-07-01,16,,16,4,8,1192,1192,370599033,8,16,3211678,3,11,1605687,11,255,38066241,1214,1474,413482639,-12.16,1.66
2025-08-01,16,,16,4,8,1108,1108,327990246,17,34,4233269,6,20,4775618,18,245,30927378,1149,1407,367926511,-18.47,-12.17
2025-09-01,16,,16,4,8,1097,1097,337408813,6,12,1989481,3,11,1427176,15,271,50051390,1121,1391,390876860,-15.75,-14.98
2025-10-01,16,,16,4,8,1230,1230,379591652,18,36,11674518,28,111,14532276,15,373,37258571,1291,1750,443057017,-10.35,2.58
2025-11-01,16,,16,4,8,892,892,264716155,29,58,11247602,28,109,14171478,4,48,5714622,953,1107,295849857,-13.06,-20.76
2025-12-01,16,,16,4,8,998,998,307879687,8,16,3518786,8,31,6055200,4,84,12387597,1018,1129,329841270,8.36,-5.44
2024-01-01,17,,17,2,3,478,478,158169580,9,18,3611417,19,63,12959187,18,262,56465079,524,821,231205263,,
2024-02-01,17,,17,2,3,657,657,222868022,11,22,4909465,9,28,5768180,19,275,51660489,696,982,285206156,,
2024-03-01,17,,17,2,3,873,873,290460838,10,20,4434896,13,43,11795930,50,1239,251288073,946,2175,557979737,,
2024-04-01,17,,17,2,3,980,980,331846722,27,54,8539457,15,49,9598514,19,113,30437732,1041,1196,380422425,,
2024-05-01,17,,17,2,3,1061,1061,379491175,9,18,3964836,17,54,8660638,32,637,134178557,1119,1770,526295206,,
2024-06-01,17,,17,2,3,938,938,323963766,14,28,6363973,16,52,10250138,33,672,177046650,1001,1690,517624527,,
2024-07-01,17,,17,2,3,940,940,369042978,24,48,13110785,17,58,13065122,41,451,91791409,1022,1497,487010294,,
2024-08-01,17,,17,2,3,964,964,332068741,20,40,7418824,18,56,10583784,37,1157,177538369,1039,2217,527609718,,
2024-09-01,17,,17,2,3,931,931,328329117,29,58,13574777,18,62,8908371,51,855,195690954,1029,1906,546503219,,
2024-10-01,17,,17,2,3,1042,1042,405397864,30,60,10445890,11,35,6723492,39,796,158742793,1122,1933,581310039,,
2024-11-01,17,,17,2,3,779,779,291233782,29,58,12996780,26,87,16175154,34,895,182070625,868,1819,502476341,,
2024-12-01,17,,17,2,3,656,656,233953486,13,26,6118420,8,29,5840187,40,762,219490365,717,1473,465402458,,
2025-01-01,17,,17,2,3,602,602,215683612,20,40,6544052,18,54,17745126,19,200,52884993,659,896,292857783,25.94,9.14
2025-02-01,17,,17,2,3,635,635,215890536,19,38,8129189,21,72,11860364,19,376,49950574,694,1121,285830663,-3.35,14.15
2025-03-01,17,,17,2,3,964,964,345144829,18,36,7471147,16,54,12060754,30,284,51187786,1028,1338,415864516,,
2025-04-01,17,,17,2,3,1009,1009,360385977,26,52,10745062,18,59,12427671,38,443,92571414,1091,1563,476130124,2.96,30.69
2025-05-01,17,,17,2,3,976,976,353410484,37,74,16719275,15,48,8341955,35,1094,245085885,1063,2192,623557599,-8.01,23.84
2025-06-01,17,,17,2,3,1203,1203,430341087,27,54,8632561,18,56,12960945,36,850,127813495,1284,2163,579748088,28.25,27.99
2025-07-01,17,,17,2,3,1040,1040,360823802,25,50,8611338,24,80,14291804,42,959,268073324,1131,2129,651800268,10.64,42.22
2025-08-01,17,,17,2,3,1043,1043,378766685,31,62,12721372,39,144,25377928,46,541,105026412,1159,1790,521892397,8.2,-19.26
2025-09-01,17,,17,2,3,983,983,355955075,33,66,13253968,31,103,25285560,35,645,139780865,1082,1797,534275468,5.59,-5.72
2025-10-01,17,,17,2,3,1090,1090,374898125,24,48,10229899,26,86,18322475,42,645,171997531,1182,1869,575448030,4.61,-3.31
2025-11-01,17,,17,2,3,655,655,269480805,29,58,9053085,18,60,11457603,28,350,102805504,730,1123,392796997,-15.92,-38.26
2025-12-01,17,,17,2,3,711,711,274726750,29,58,10979621,21,70,13034935,16,160,47146121,777,999,345887427,8.38,-32.18
2024-01-01,18,,18,2,3,1269,1269,439643019,26,52,10187536,6,20,2635769,11,170,28312560,1312,1511,480778884,,
2024-02-01,18,,18,2,3,1458,1458,497505707,22,44,9077265,11,42,5407500,20,456,99462143,1511,2000,611452615,,
2024-03-01,18,,18,2,3,1656,1656,573782255,19,38,6331801,7,26,1869034,21,494,88283565,1703,2214,670266655,,
2024-04-01,18,,18,2,3,2073,2073,698406500,20,40,7675292,3,11,1363750,16,290,40685957,2112,2414,748131499,,
2024-05-01,18,,18,2,3,1661,1661,578887591,39,78,16826792,3,12,2400000,23,318,48715093,1726,2069,646829476,,
2024-06-01,18,,18,2,3,1921,1921,620259169,15,30,5047732,1,3,56250,27,458,66263280,1964,2412,691626431,,
2024-07-01,18,,18,2,3,1687,1687,589590190,37,74,15110704,3,11,1412086,26,407,62184871,1753,2179,668297851,,
2024-08-01,18,,18,2,3,2013,2013,657995198,23,46,4624084,1,4,300000,39,584,80590469,2076,2647,743509751,,
2024-09-01,18,,18,2,3,1782,1782,611888446,16,32,7812478,15,46,6952164,21,555,81923395,1834,2415,708576483,,
2024-10-01,18,,18,2,3,2059,2059,749197526,20,40,6430584,1,3,56250,40,764,155147754,2120,2866,910832114,,
2024-11-01,18,,18,2,3,1394,1394,490052387,21,42,8487091,9,33,21181159,25,550,127557350,1449,2019,647277987,,
2024-12-01,18,,18,2,3,1216,1216,421274180,13,26,3619756,3,10,1581450,18,780,147064353,1250,2032,573539739,,
2025-01-01,18,,18,2,3,1353,1353,479752287,14,28,4809812,3,10,1902686,14,1399,293371609,1384,2790,779836394,6.62,84.65
2025-02-01,18,,18,2,3,1399,1399,486264094,33,66,9181237,4,13,1468750,21,525,79017529,1457,2003,575931610,-4.05,0.15
2025-03-01,18,,18,2,3,1689,1689,606490302,17,34,5029956,3,10,1255321,34,669,142627188,1743,2402,755402767,,
2025-04-01,18,,18,2,3,2019,2019,710091753,32,64,11108117,1,3,538752,26,778,105602656,2078,2864,827341278,-2.6,18.64
2025-05-01,18,,18,2,3,2048,2048,741119886,32,64,9155064,2,8,1129916,25,527,74434736,2107,2647,825839602,23.3,27.94
2025-06-01,18,,18,2,3,1811,1811,643808517,23,46,6698164,6,22,3418668,31,1096,156620517,1871,2975,810545866,-5.73,23.34
2025-07-01,18,,18,2,3,1766,1766,654574959,29,58,10549072,0,0,0,41,865,112887502,1836,2689,778011533,4.68,23.41
2025-08-01,18,,18,2,3,1711,1711,610520013,21,42,6002961,3,11,1589952,29,365,63939086,1764,2129,682052012,-15,-19.57
2025-09-01,18,,18,2,3,1792,1792,657086726,17,34,5991621,5,19,5246579,25,844,142777391,1839,2689,811102317,0.56,11.35
2025-10-01,18,,18,2,3,2028,2028,733172786,20,40,7671675,4,15,3438752,22,680,110615844,2074,2763,854899057,-1.51,-3.59
2025-11-01,18,,18,2,3,1265,1265,477225505,16,32,6903561,0,0,0,23,332,56428280,1304,1629,540557346,-9.25,-19.32
2025-12-01,18,,18,2,3,1293,1293,448481315,13,26,2311488,7,27,6402703,35,516,83770811,1348,1862,540966317,6.33,-8.37
2024-01-01,19,,19,2,4,360,360,118665992,6,12,3141869,2,6,1013817,6,194,37769291,374,572,160590969,,
2024-02-01,19,,19,2,4,562,562,177782913,13,26,4792977,5,18,3848564,4,102,8838946,584,708,195263400,,
2024-03-01,19,,19,2,4,753,753,252427318,28,56,11044379,3,11,2491701,5,97,28545294,789,917,294508692,,
2024-04-01,19,,19,2,4,769,769,271201691,15,30,5645512,3,10,1908000,5,85,16167889,792,894,294923092,,
2024-05-01,19,,19,2,4,712,712,254764089,21,42,4130454,9,30,5637040,9,65,8761091,751,849,273292674,,
2024-06-01,19,,19,2,4,656,656,231006988,12,24,4823502,5,18,3584518,18,363,62360137,691,1061,301775145,,
2024-07-01,19,,19,2,4,572,572,199280623,20,40,8597069,4,13,1735000,22,659,86953967,618,1284,296566659,,
2024-08-01,19,,19,2,4,640,640,232530023,19,38,6120494,4,13,2950129,19,451,59034215,682,1142,300634861,,
2024-09-01,19,,19,2,4,842,842,247544142,22,44,7295466,6,21,4009960,14,377,53829986,884,1284,312679554,,
2024-10-01,19,,19,2,4,845,845,300600199,24,48,9383931,11,41,7362307,14,276,39836865,894,1210,357183302,,
2024-11-01,19,,19,2,4,545,545,192939574,14,28,6097911,10,38,7952930,24,787,117618030,593,1398,324608445,,
2024-12-01,19,,19,2,4,441,441,152333482,27,54,10975059,4,15,2354676,13,141,17761591,485,651,183424808,,
2025-01-01,19,,19,2,4,350,350,118102310,7,14,3117934,5,18,3163000,5,443,119224859,367,825,243608103,-2.78,44.23
2025-02-01,19,,19,2,4,435,435,156806932,8,16,3072074,5,17,3962073,15,487,40241095,463,955,204082174,-22.6,34.89
2025-03-01,19,,19,2,4,672,672,248773020,35,70,12244093,4,14,2369818,11,517,88210016,722,1273,351596947,,
2025-04-01,19,,19,2,4,858,858,308370829,25,50,11055560,2,7,1136100,24,260,38648565,909,1175,359211054,11.57,31.43
2025-05-01,19,,19,2,4,718,718,252949050,16,32,6717103,7,27,2872368,24,176,24020896,765,953,286559417,0.84,12.25
2025-06-01,19,,19,2,4,679,679,242496583,8,16,3958334,7,24,5721780,36,971,155789231,730,1690,407965928,3.51,59.28
2025-07-01,19,,19,2,4,663,663,233783449,26,52,11853375,5,17,3222358,17,242,32647873,711,974,281507055,15.91,-24.14
2025-08-01,19,,19,2,4,677,677,237107373,20,40,7402981,9,34,6808236,30,501,78058396,736,1252,329376986,5.78,9.63
2025-09-01,19,,19,2,4,708,708,254475472,12,24,5019024,7,27,5525000,11,131,19222224,738,890,284241720,-15.91,-30.69
2025-10-01,19,,19,2,4,774,774,300410254,36,72,12026509,8,27,4784600,23,778,121364655,841,1651,438586018,-8.4,36.45
2025-11-01,19,,19,2,4,566,566,214784121,23,46,9215084,5,16,3854600,13,194,26296012,607,822,254149817,3.85,-41.2
2025-12-01,19,,19,2,4,395,395,142288169,10,20,3668764,5,19,3450000,21,307,40644779,431,741,190051712,-10.43,13.82
2024-01-01,20,,20,2,4,264,264,106923213,51,102,15212253,14,55,7982675,4,173,31159189,333,594,161277330,,
2024-02-01,20,,20,2,4,409,409,146986249,51,102,12119511,13,51,7011000,5,290,55522977,478,852,221639737,,
2024-03-01,20,,20,2,4,427,427,162805514,66,132,18521697,3,10,2261500,18,328,68317107,514,897,251905818,,
2024-04-01,20,,20,2,4,523,523,199518436,44,88,12804052,1,3,330750,16,293,42964372,584,907,255617610,,
2024-05-01,20,,20,2,4,505,505,184108309,34,68,9924349,0,0,0,5,284,48749436,544,857,242782094,,
2024-06-01,20,,20,2,4,459,459,163344848,50,100,14671938,3,12,3425000,5,76,10695401,517,647,192137187,,
2024-07-01,20,,20,2,4,482,482,179541520,33,66,9284404,18,55,4720000,2,31,6312051,535,634,199857975,,
2024-08-01,20,,20,2,4,478,478,189886649,104,208,30612616,5,15,1634655,12,335,47240958,599,1036,269374878,,
2024-09-01,20,,20,2,4,508,508,177863283,60,120,18238002,16,59,18717737,1,29,5578298,585,716,220397320,,
2024-10-01,20,,20,2,4,578,578,196267526,73,146,23593495,9,33,4977888,5,64,10653382,665,821,235492291,,
2024-11-01,20,,20,2,4,387,387,130679100,45,90,13726239,6,19,1775000,4,49,7986715,442,545,154167054,,
2024-12-01,20,,20,2,4,387,387,154336171,44,88,12847837,8,29,9930750,6,64,12041317,445,568,189156075,,
2025-01-01,20,,20,2,4,315,315,117288398,55,110,17325259,1,4,400000,5,76,14687376,376,505,149701033,19.32,-14.98
2025-02-01,20,,20,2,4,366,366,138741573,45,90,13816714,1,3,330750,6,165,26744485,418,624,179633522,-10.51,-26.76
2025-03-01,20,,20,2,4,569,569,202837077,94,188,26547385,0,0,0,4,134,21272910,667,891,250657372,,
2025-04-01,20,,20,2,4,602,602,212306065,92,184,25399398,11,41,9189500,11,145,21419926,716,972,268314889,15.11,7.17
2025-05-01,20,,20,2,4,587,587,198634841,60,120,16810655,4,14,1819500,5,260,40760030,656,981,258025026,16.24,14.47
2025-06-01,20,,20,2,4,548,548,194007877,49,98,14173489,9,34,4294500,13,414,71387782,619,1094,283863648,19.39,69.09
2025-07-01,20,,20,2,4,555,555,190785062,40,80,11298325,1,3,589500,14,262,41377209,610,900,244050096,15.15,41.96
2025-08-01,20,,20,2,4,534,534,171335853,59,118,16789822,8,24,4426410,10,73,14556849,611,749,207108934,11.72,-27.7
2025-09-01,20,,20,2,4,479,479,171443963,84,168,24389039,2,6,2464500,5,29,4142612,570,682,202440114,-5.71,-4.75
2025-10-01,20,,20,2,4,557,557,194249355,59,118,22642527,3,9,2764500,3,17,2310684,622,701,221967066,-3.63,-14.62
2025-11-01,20,,20,2,4,448,448,154307674,82,164,22532627,3,9,1409500,6,302,53232184,539,923,231481985,15.76,69.36
2025-12-01,20,,20,2,4,465,465,175326558,64,128,21165841,5,18,2449500,7,205,31442344,541,816,230384243,20.16,43.66
2024-01-01,21,,21,3,6,548,548,155207748,11,22,2482338,6,20,1722994,28,399,57833792,593,989,217246872,,
2024-02-01,21,,21,3,6,736,736,176017125,22,44,7204753,10,36,5106737,52,803,40678785,820,1619,229007400,,
2024-03-01,21,,21,3,6,734,734,196315696,15,30,5265955,6,19,1837022,45,453,65563735,800,1236,268982408,,
2024-04-01,21,,21,3,6,765,765,197187344,23,46,6109694,9,29,3594880,30,762,228655981,827,1602,435547899,,
2024-05-01,21,,21,3,6,816,816,231917728,29,58,8479840,7,24,3655333,32,367,43681772,884,1265,287734673,,
2024-06-01,21,,21,3,6,777,777,203482088,9,18,2423166,9,28,3497920,17,347,43872825,812,1170,253275999,,
2024-07-01,21,,21,3,6,785,785,236589479,25,50,9199430,6,19,2154420,22,373,47177240,838,1227,295120569,,
2024-08-01,21,,21,3,6,740,740,200756407,26,52,8324734,5,18,2468774,46,953,116534330,817,1763,328084245,,
2024-09-01,21,,21,3,6,714,714,182604454,35,70,8677797,13,49,5815870,16,251,32364447,778,1084,229462568,,
2024-10-01,21,,21,3,6,812,812,214607414,42,84,10656832,9,30,4052460,18,263,31063412,881,1189,260380118,,
2024-11-01,21,,21,3,6,617,617,159360313,22,44,5283134,11,37,3610063,21,293,36631029,671,991,204884539,,
2024-12-01,21,,21,3,6,548,548,164477458,15,30,3924847,20,72,7396235,16,309,37828337,599,959,213626877,,
2025-01-01,21,,21,3,6,575,575,164716648,10,20,3260004,1,3,439594,29,278,31479621,615,876,199895867,4.93,-11.43
2025-02-01,21,,21,3,6,628,628,168208392,15,30,4327511,2,7,739594,19,224,26132984,664,889,199408481,-14.67,-45.09
2025-03-01,21,,21,3,6,841,841,222565491,13,26,3586740,6,22,3283504,42,576,64523839,902,1465,293959574,,
2025-04-01,21,,21,3,6,892,892,227696696,11,22,2420512,10,35,4383622,39,660,81168074,952,1609,315668904,16.6,0.44
2025-05-01,21,,21,3,6,793,793,225164457,18,36,4303329,7,25,4520672,37,516,64480986,855,1370,298469444,-2.82,8.3
2025-06-01,21,,21,3,6,720,720,206025664,11,22,3658356,12,41,5888307,32,454,44610464,775,1237,260182791,-7.34,5.73
2025-07-01,21,,21,3,6,747,747,221241533,12,24,2559079,6,19,3885377,27,474,42355168,792,1264,270041157,-4.84,3.02
2025-08-01,21,,21,3,6,699,699,210178524,35,70,9571759,10,32,3686134,48,856,106012317,792,1657,329448734,-5.54,-6.01
2025-09-01,21,,21,3,6,779,779,215326071,31,62,8294877,18,67,6515295,28,420,63858634,856,1328,293994877,9.1,22.51
2025-10-01,21,,21,3,6,672,672,169000235,12,24,3906644,7,24,3763917,31,378,58646028,722,1098,235316824,-17.24,-7.65
2025-11-01,21,,21,3,6,649,649,187186044,6,12,2553063,3,11,1800000,19,289,33975589,677,961,225514696,5.19,-3.03
2025-12-01,21,,21,3,6,547,547,153185799,28,56,7457013,4,14,1489674,16,339,46927014,595,956,209059500,-0.18,-0.31
2024-01-01,22,,22,3,7,1052,1052,244957264,12,24,3000896,3,10,1363346,2,159,70401631,1069,1245,319723137,,
2024-02-01,22,,22,3,7,1028,1028,247152480,26,52,6785366,0,0,0,6,159,28310392,1060,1239,282248238,,
2024-03-01,22,,22,3,7,1101,1101,266864973,22,44,5529291,0,0,0,3,44,5431780,1126,1189,277826044,,
2024-04-01,22,,22,3,7,1100,1100,272234283,23,46,5869698,0,0,0,4,93,14916008,1127,1239,293019989,,
2024-05-01,22,,22,3,7,1180,1180,272960732,17,34,4489563,3,9,688396,4,63,6531375,1204,1286,284670066,,
2024-06-01,22,,22,3,7,1019,1019,244999921,24,48,6187035,1,4,500000,10,181,34790185,1054,1252,286477141,,
2024-07-01,22,,22,3,7,1046,1046,252353551,18,36,4360438,0,0,0,10,265,54820271,1074,1347,311534260,,
2024-08-01,22,,22,3,7,1094,1094,265076438,27,54,8403119,1,3,370073,4,99,15870066,1126,1250,289719696,,
2024-09-01,22,,22,3,7,989,989,235488604,25,50,7399703,0,0,0,8,147,29713920,1022,1186,272602227,,
2024-10-01,22,,22,3,7,1012,1012,264225774,19,38,5252088,1,4,320000,3,51,5181052,1035,1105,274978914,,
2024-11-01,22,,22,3,7,838,838,216869008,19,38,4888788,0,0,0,4,90,50684243,861,966,272442039,,
2024-12-01,22,,22,3,7,822,822,209680129,22,44,5471670,0,0,0,6,144,24858000,850,1010,240009799,,
2025-01-01,22,,22,3,7,967,967,252021390,26,52,6553490,0,0,0,4,61,9519345,997,1080,268094225,-8.08,-13.25
2025-02-01,22,,22,3,7,1092,1092,286787345,16,32,4018337,0,0,0,3,80,13610161,1111,1204,304415843,6.23,-2.82
2025-03-01,22,,22,3,7,1185,1185,290695516,27,54,6981240,1,4,417000,3,54,8728499,1216,1297,306822255,,
2025-04-01,22,,22,3,7,1168,1168,278210058,19,38,4226401,1,3,245819,19,255,33007532,1207,1464,315689810,6.18,18.16
2025-05-01,22,,22,3,7,998,998,259441007,26,52,6084170,0,0,0,7,51,8655544,1031,1101,274180721,-15.42,-14.39
2025-06-01,22,,22,3,7,1001,1001,264699358,24,48,5130898,1,3,245819,13,150,19665989,1039,1202,289742064,-1.77,-3.99
2025-07-01,22,,22,3,7,977,977,282820403,20,40,4585210,1,3,267000,7,62,8006462,1005,1082,295679075,-6.6,-19.67
2025-08-01,22,,22,3,7,874,874,237494186,27,54,6200818,2,7,365819,37,562,71959869,940,1497,316020692,-20.11,19.76
2025-09-01,22,,22,3,7,1014,1014,255099926,23,46,5259348,1,3,267000,10,181,23342776,1048,1244,283969050,2.53,4.89
2025-10-01,22,,22,3,7,1018,1018,252398000,24,48,5691453,0,0,0,14,200,25900813,1056,1266,283990266,0.59,14.57
2025-11-01,22,,22,3,7,832,832,207076000,23,46,4989620,1,3,300000,5,32,4575624,861,913,216941244,-0.72,-5.49
2025-12-01,22,,22,3,7,835,835,214724600,23,46,4935627,0,0,0,24,239,30685006,882,1120,250345233,1.58,10.89
2024-01-01,23,,23,1,1,297,297,83475008,7,14,2425817,1,3,421550,5,75,8896752,310,389,95219127,,
2024-02-01,23,,23,1,1,267,267,82283077,9,18,2621346,2,7,1432900,6,75,6537410,284,367,92874733,,
2024-03-01,23,,23,1,1,345,345,97213459,14,28,4437494,3,11,1250000,11,184,33310211,373,568,136211164,,
2024-04-01,23,,23,1,1,487,487,152266090,7,14,2319311,1,3,250000,6,35,3772164,501,539,158607565,,
2024-05-01,23,,23,1,1,500,500,139827320,12,24,4035251,5,19,12973346,12,118,16960340,529,661,173796257,,
2024-06-01,23,,23,1,1,443,443,132871516,16,32,5633429,3,10,2117900,10,104,15837128,472,589,156459973,,
2024-07-01,23,,23,1,1,440,440,137195085,14,28,4946013,4,15,2832900,9,53,7298355,467,536,152272353,,
2024-08-01,23,,23,1,1,497,497,149886751,16,32,7971887,2,7,911648,10,63,9529200,525,599,168299486,,
2024-09-01,23,,23,1,1,428,428,129668261,15,30,5776776,2,6,882900,5,27,2875794,450,491,139203731,,
2024-10-01,23,,23,1,1,398,398,122367189,8,16,2712713,0,0,0,11,101,16429674,417,515,141509576,,
2024-11-01,23,,23,1,1,317,317,96354332,9,18,3333428,4,15,1869145,6,37,3872035,336,387,105428940,,
2024-12-01,23,,23,1,1,275,275,92895215,7,14,2365829,3,11,1271748,9,103,12747920,294,403,109280712,,
2025-01-01,23,,23,1,1,255,255,75062434,12,24,3851460,4,15,1686245,8,196,43412949,279,490,124013088,-14.14,25.96
2025-02-01,23,,23,1,1,208,208,72012978,8,16,2582405,1,3,375000,9,130,85618558,226,357,160588941,-22.1,-2.72
2025-03-01,23,,23,1,1,416,416,126289749,6,12,1644579,1,3,375000,11,293,47527499,434,724,175836827,,
2025-04-01,23,,23,1,1,524,524,169209175,31,62,8156833,1,3,359062,7,74,9105236,563,663,186830306,7.6,23.01
2025-05-01,23,,23,1,1,442,442,144341197,6,12,1892535,1,3,367031,8,162,29579282,457,619,176180045,-11.6,-6.35
2025-06-01,23,,23,1,1,427,427,137181391,14,28,5144967,2,6,854450,10,113,17934473,453,574,161115281,-3.61,-2.55
2025-07-01,23,,23,1,1,500,500,163505553,5,10,1844336,2,6,994350,8,60,6420187,515,576,172764426,13.64,7.46
2025-08-01,23,,23,1,1,400,400,127332172,6,12,2371997,1,3,359062,10,91,11999717,417,506,142062948,-19.52,-15.53
2025-09-01,23,,23,1,1,404,404,136618545,10,20,3504737,1,3,367031,10,109,14537580,425,536,155027893,-5.61,9.16
2025-10-01,23,,23,1,1,468,468,152697049,6,12,2023127,2,6,1032900,16,206,30526766,492,692,186279842,17.59,34.37
2025-11-01,23,,23,1,1,347,347,103206255,9,18,4510573,3,11,1346402,5,103,20014838,364,479,129078068,9.46,23.77
2025-12-01,23,,23,1,1,246,246,83831043,12,24,5988694,4,13,1282254,8,73,19036160,270,356,110138151,-10.55,-11.66
2024-01-01,24,,24,3,5,879,879,258353437,1,2,350000,1,4,395103,5,122,15571554,886,1007,274670094,,
2024-02-01,24,,24,3,5,875,875,257109285,0,0,0,0,0,0,7,540,149697548,882,1415,406806833,,
2024-03-01,24,,24,3,5,1140,1140,269383569,1,2,500000,1,3,900000,8,517,101429424,1150,1662,372212993,,
2024-04-01,24,,24,3,5,1046,1046,275055784,0,0,0,0,0,0,17,1155,215501339,1063,2201,490557123,,
2024-05-01,24,,24,3,5,862,862,253199559,1,2,310476,0,0,0,13,751,171242972,876,1615,424753007,,
2024-06-01,24,,24,3,5,966,966,287554195,0,0,0,0,0,0,29,405,58318082,995,1371,345872277,,
2024-07-01,24,,24,3,5,809,809,245677309,1,2,310476,1,3,640000,11,531,103349716,822,1345,349977501,,
2024-08-01,24,,24,3,5,775,775,247945152,0,0,0,0,0,0,12,669,110534341,787,1444,358479493,,
2024-09-01,24,,24,3,5,645,645,181587559,1,2,300000,0,0,0,9,647,148568011,655,1294,330455570,,
2024-10-01,24,,24,3,5,895,895,307846980,1,2,310476,0,0,0,11,387,56562635,907,1284,364720091,,
2024-11-01,24,,24,3,5,766,766,243580053,2,4,901657,1,4,1200000,5,162,34513751,774,936,280195461,,
2024-12-01,24,,24,3,5,712,712,223914102,4,8,1579756,0,0,0,3,403,103353364,719,1123,328847222,,
2025-01-01,24,,24,3,5,896,896,284834765,6,12,3368918,2,8,1104928,8,492,98917080,912,1408,388225691,1.93,39.82
2025-02-01,24,,24,3,5,1010,1010,284801007,1,2,10000,0,0,0,11,444,164430940,1022,1456,449241947,15.43,2.9
2025-03-01,24,,24,3,5,868,868,236393939,5,10,999333,0,0,0,3,129,18744217,876,1007,256137489,,
2025-04-01,24,,24,3,5,915,915,251382190,9,18,4025000,2,8,3200000,5,312,51822280,931,1253,310429470,-12.52,-43.07
2025-05-01,24,,24,3,5,922,922,303764898,0,0,0,0,0,0,11,833,150535190,933,1755,454300088,6.96,8.67
2025-06-01,24,,24,3,5,913,913,291599817,5,10,2500000,1,4,500000,6,100,22500476,925,1027,317100293,-5.49,-25.09
2025-07-01,24,,24,3,5,876,876,246408255,0,0,0,0,0,0,7,297,54406550,883,1173,300814805,8.28,-12.79
2025-08-01,24,,24,3,5,748,748,211639165,1,2,180000,0,0,0,5,152,33952457,754,902,245771622,-3.48,-37.53
2025-09-01,24,,24,3,5,640,640,197791729,3,6,750000,0,0,0,1,70,16668560,644,716,215210289,-0.78,-44.67
2025-10-01,24,,24,3,5,625,625,173779017,1,2,249999,1,3,296327,7,320,130474120,634,950,304799463,-30.17,-26.01
2025-11-01,24,,24,3,5,623,623,164399931,12,24,2970700,2,6,661363,10,834,138574474,647,1487,306606468,-18.67,58.87
2025-12-01,24,,24,3,5,512,512,153380970,0,0,0,0,0,0,4,119,18041723,516,631,171422693,-28.09,-43.81
2024-01-01,25,,25,1,1,400,400,190520868,8,16,3813899,4,13,2605163,33,930,388478706,445,1359,585418636,,
2024-02-01,25,,25,1,1,383,383,185452254,18,36,8599389,10,32,5347558,31,852,166507734,442,1303,365906935,,
