RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
102001,0,United States,country,,46209.09826520126,46418.417800096606,46646.70814871711,46834.92743103639,47003.02516490279,47162.0887280567,47338.624523514176,47537.349945252274,47744.30490369121,47948.05722722895,48139.018188082584,48314.11490531562,48455.210923504856,48576.715631053,48652.661917433434,48786.7834316156,48927.61394375738,49112.06491146946,49258.55907214723,49412.395767171256,49555.38563000048,49704.50770120205,49836.43907390119,49964.29461385602,50150.77753212628,50366.50350912619,50633.658390322045,50828.02974102589,51019.45720355701,51168.59375995451,51326.19966138294,51458.20758900266,51640.34711676849,51791.28630369391,51972.727887552996,52149.780462287985,52345.402565717646,52543.39961402533,52707.70797825871,52879.837568777715,53022.27750752608,53194.60006112351,53375.85950823881,53576.43715107041,53740.0735847013,53943.81365220884,54164.24831648019,54383.38841977422,54543.79093188136,54677.8907901867,54841.78872938224,55026.71925394461,55237.587245050796,55438.530025112756,55636.70774421263,55831.024162799615,56031.58996741771,56215.95046139845,56377.22788237271,56544.76122481186,56739.73483884027,56950.51836296999,57123.526858647485,57027.3745292927,56842.51127241206,56678.67061135653,56698.64319206684,56708.62624241259,56748.67363786366,56891.617434256106,57121.30374307469,57411.63570610044,57785.73560674321,58199.06517320712,58666.788563991024,59290.08850409755,60099.67740104129,61049.21643592609,62024.28107922589,63074.24765707235,64108.26552246797,64981.79578705407,65718.03233967321,66373.03412874897,66927.29741221067,67476.04073037673,67935.9031114244,68539.3696007809,69079.59684451837,69635.10049474741,70034.22812914016,70312.85031477021,70505.76077738743,70665.52190829931,70849.7797685665,71041.84916097546,71231.54289554461,71421.08081041339,71717.94892556401,71920.2202623138,72131.10407733914,72177.27908383548,72316.92528491326,72457.17788194251,72616.8606144654,72806.20652170297,72981.99455553296,73171.73572823546,73353.33467362975,73545.77266049988,73708.55584943747,73891.83855456131,74094.3128865381,74323.08060387109,74527.356801591,74701.55231588955,74877.05440074575,75044.35517706446,75281.6831936427,75488.35179494896,75699.72725739892,75881.74357032971,76030.5652157349,76155.55156559472,76252.10995125915,76386.63226713905,76511.8943503675,76666.64914537552,76812.43134434319,76944.57248107651,77011.24744042197
394913,1,"New York, NY",msa,NY,87239.64716402697,87807.54775166752,88325.9076001919,88695.22169963206,88847.37140554962,89007.93751502907,89202.45053918345,89528.9707969254,89846.33375817203,90154.27185015123,90310.7514708628,90491.45677541851,90621.89828553895,90771.80032657008,90820.61314405697,90891.28958556008,91002.70677549294,91164.77054537216,91391.6226548478,91510.50595305528,91685.86655915291,91863.70544908363,92231.40741320733,92369.00784271557,92485.18747606457,92469.978359591,92611.94718818489,92723.26556943459,92938.94096609048,93049.26749155697,93181.86528890237,93218.94427344122,93335.77066002964,93309.72910805464,93330.9970230716,93424.38801106528,93633.33029844784,93832.43739057369,94007.61661005489,94287.9380319027,94476.94984005304,94646.10177916473,94816.61714192676,95118.55475704865,95377.76464762239,95575.8058368915,95838.58607239924,96062.11325789968,96312.43151495789,96548.2466860668,96799.21019741334,96994.1446916542,97218.21637672753,97508.81843795706,97786.31716272394,98037.85271567115,98285.16180453502,98660.2891230956,98941.85280107496,99277.43810866069,99555.21253200342,99889.94682516209,,,,,,,,90964.73309012112,90482.3773456025,90460.90713599128,90604.71963236322,90929.66543864473,91361.9727913097,92063.16976370965,93211.08838198398,94722.95865979759,96566.72688199225,98787.12864366466,101070.19656661665,103099.21322618696,104896.14110372608,106394.31656569039,107668.54602164884,108741.50827870338,109781.2055290092,110856.80800098354,112047.52046656834,113270.80424224243,114388.45543513815,115248.37936729123,115814.77008286597,116150.02595153003,116321.95374601512,116435.41073739553,116675.45461515128,117037.62580764516,117535.86468770931,118185.57177207526,118747.95512202152,119096.30250929279,119314.85706337706,119560.89411713881,120022.05671885466,120411.09858900071,120798.74599468407,121146.80203576881,121619.9450802758,122125.49826442139,122630.25580587829,123010.01950270681,123424.09975663183,123699.54743180555,123810.67430642483,123924.58722073634,124164.36716696578,124641.03615426912,125426.76158486189,126100.5600963742,126639.66555782098,127109.3970310084,127494.28875487778,127867.74638495003,128209.72361050952,128745.03835754003,129487.61685636739,130257.84871198623,130882.86405046745,131415.18855003564,131746.41291187418
753899,2,"Los Angeles, CA",msa,CA,70249.19296508923,70611.80259655468,71052.1768594409,71468.55749878335,71809.49097254072,72137.06164714551,72504.90991816002,72931.16951241378,73412.56032909067,73817.70037948698,74293.81995698214,74751.62199605662,75184.50481682073,75492.35534118043,75726.10549825439,75980.15051513108,76322.17227411682,76714.34591171004,77115.84159830809,77418.07738334268,77746.18515606644,78042.48527396911,78353.21847406033,78656.30613607346,79141.2619420138,79666.53956151224,80311.12887116392,80740.12273684317,81113.03267795812,81373.92348781406,81686.4453857269,81954.97449305399,82285.63318061187,82560.79138282481,82915.82232807257,83248.47966531508,83628.39985553343,84034.86742666201,84235.91338737274,84490.9023615441,84664.3942916924,85043.6911430742,85358.4658430365,85753.46943428318,86032.84314755833,86405.24564479398,86749.2038280607,87097.23030702236,87268.33883366465,87425.65597374827,87690.89460982852,88014.1398780691,88404.28873129551,88670.35707989387,88945.65076149025,89189.52316171616,89472.09566445665,89709.16673397543,89913.47877602732,90120.47487146086,90395.24289796925,90654.42611194015,90472.49882940312,90108.63980857303,89727.44064475388,89364.05373467007,89154.08260488187,88872.86054720955,88800.67512200691,88977.81899349208,89266.54105953724,89505.24896543146,89929.36511689867,90371.7216309733,90915.24853075523,91456.86385359257,92251.29688687052,93454.61177598697,94924.98922431095,96706.46905726683,98233.86630742639,99462.55549573679,100391.82508664184,101440.60905550388,102327.30356536711,103321.86067356571,104177.08640301556,105344.82093744478,106262.15109937599,106965.48512279092,107314.90843459903,107502.63194800782,107676.71515136906,107804.62653624764,108099.24288538966,108254.9625531852,108263.82828624532,108312.00658602909,108599.07457662147,108972.68372526768,109240.23722091387,109355.39475572114,109594.69989210738,109812.46241692697,110005.73300426676,110219.30280842348,110328.29218029494,110576.46023692006,110619.51180389448,110737.61344217768,110826.82547731418,111157.48507996173,111507.77539250095,111870.05634668871,112233.27427922991,112485.88787753679,112784.07187763942,113036.63449472933,113385.974307637,113712.68553135733,114265.00879786056,114689.11265977916,115018.21155566671,115029.29023700896,115102.72099563055,115256.8799538732,115398.38502916634,115641.40840919856,115852.12023737491,116083.42098593005,116239.46077882982
394463,3,"Chicago, IL",msa,IL,53021.90921053814,53087.09463220622,53260.88087966171,53410.182124145314,53570.43289207757,53688.50537010272,53786.05673963282,53937.58034079179,54064.05569943335,54248.89651181363,54412.96360190828,54625.40396995577,54768.462925603235,54867.5717726504,54939.54590230174,54981.80856253184,55056.56083688483,55163.39747739812,55354.910017349226,55584.852481517846,55690.97156736516,55799.02599704295,55779.260285526776,55773.66481038594,55837.33978338372,56065.15932047808,56364.359019319636,56585.84253200182,56752.316160027745,56803.87529849929,56854.898924871406,56834.020429161756,56998.5209060013,57073.63690243549,57248.86639443491,57367.51200789871,57507.85663735643,57640.08495686084,57685.87485742033,57774.900514109046,57866.63252732833,58061.77684299614,58228.0175060734,58333.66440558788,58348.44842822027,58397.98676040909,58549.24106366696,58817.96316037149,58974.2247388112,59068.12812776874,59184.64332506131,59315.13925036149,59467.390205268275,59592.03724110297,59726.83420701793,59936.83841450216,60154.81178141968,60390.264801757636,60527.17691590099,60599.655626566724,60740.329394373744,60905.44161933168,61092.88647221569,60754.8425482491,60369.046841397605,60035.756564650575,59913.74709920481,59820.42970223923,59649.702817933605,59427.90634044346,59283.838826102685,59293.817690346,59302.79452517566,59469.20216757926,59712.78278515918,60311.58996669075,60964.05540427911,61684.25557652564,62294.78838149254,62898.56143592169,63540.1882349323,64088.86056232982,64642.46933914566,65165.71328028552,65683.2180107,66085.6277577312,66486.54811093149,66960.16306217451,67467.88354830674,67899.3475147756,68345.36403457324,68718.8328081744,69132.69696207235,69561.22598341104,69937.89743224623,70260.95741879015,70555.46585031533,70910.35397073867,71285.68330149946,71566.53091619685,71921.02745395731,72222.17707130984,72546.55925313495,72892.93791228872,73150.15625592113,73422.05141088123,73685.3205831191,74002.95789286181,74374.31324913785,74692.66862655408,74967.24312359066,75256.27684373865,75501.8198822515,75793.99470756431,76044.50877345724,76352.83475941377,76697.58997055038,77151.89059473698,77641.07244194606,78028.57401311578,78384.04896014935,78763.35428702112,79157.96877538142,79555.13595112583,79936.10611522132,80320.23473031582,80724.13350131919,81083.47805445675,81444.58655501329,81704.91266624647,81948.46098096321
394514,4,"Dallas, TX",msa,TX,42493.954580429374,42640.48933615382,42791.712823739676,43046.13876291776,43220.850930474175,43416.74755280145,43593.548768975066,43774.0580878621,43971.43931573368,44144.19869332862,44354.41046636697,44569.79505822625,44716.70851551916,44903.63831573318,45041.540519566035,45251.22515858721,45378.38655779234,45541.81372428974,45677.783211089576,45880.040317345185,46063.17526297454,46292.20598857805,46420.99031264653,46573.939377765695,46810.10121598399,47000.95517909552,47301.08282424517,47454.693065455394,47762.83770470525,47892.9916834216,48063.97348575819,48179.25448905856,48328.8187512281,48385.03121038173,48596.97435658971,48748.42047299304,48975.518881175194,49143.61627464343,49204.76599896894,49306.04257426465,49334.208696226226,49525.36783960999,49678.19577863112,49811.89316297645,49903.5527545158,50148.82866680883,50348.30945253086,50610.20612036433,50689.645353189,50770.484280879384,50943.10231025624,51133.730359810936,51318.65914795504,51451.71827248059,51594.53121692339,51758.32644502773,51934.30310629723,52021.10783764877,52080.511041610254,52110.24345578174,52221.463553184345,52362.229665257364,52607.8014013467,52528.481510355945,52347.870020082075,52117.68214130281,52075.68596357772,52126.96326322733,52304.83953583536,52581.34048917787,52883.548456102144,53253.39755827429,53651.270892988156,54079.82956550288,54441.444484210275,55049.375314828336,55827.623090542285,56829.49257592654,57864.313250700325,58974.86470815583,60003.714500737675,60856.78845473249,61614.65011734964,62318.89242468498,62905.81242108006,63414.88663005697,63836.639145503024,64444.078211659464,65025.10840442853,65704.92345921097,66091.62859266157,66226.09498150594,66183.34877244748,66058.49868973416,66058.43175404723,66066.62939869292,66179.37872092513,66253.76595680021,66515.95799968358,66474.26563461391,66505.92341278287,66267.6119370452,66288.22229332168,66241.87605521517,66248.97514085291,66269.61129074132,66303.92078783973,66293.76804423174,66267.56225003624,66142.84954379924,66020.88680615033,65939.60625179728,65973.34400543086,66037.8340162699,66086.92582422248,66146.04365299513,66143.97772460309,66200.39473212323,66193.4460884911,66258.71939558139,66286.37258626617,66398.06666906354,66419.77824467576,66489.96210764335,66425.09391379177,66424.63068222892,66360.87937788585,66354.86714458957,66394.0934126629,66391.43404231365,66396.8475436818
394692,5,"Houston, TX",msa,TX,48027.01314394542,48124.38847004865,48308.77160553757,48401.18970002067,48467.24895810921,48553.291156228865,48650.043420128604,48801.50413136462,48841.90731222518,48889.31336688123,48949.989302800815,48987.06675737135,49059.403287570814,49052.66892796246,49148.27610581272,49120.90903875104,49046.7177167199,48977.380226470916,48995.90597322872,49044.08646138279,48960.27088393415,48905.59145466815,48768.42902555548,48772.88228128439,48828.6460878611,49061.68876607107,49264.30212980471,49300.695638751415,49437.17955298591,49426.05876181096,49501.33553320628,49461.890171428524,49863.004809826445,50251.71546796351,50722.02137922725,50992.18061365849,51140.43504311647,51306.67818181012,51262.482284643185,51407.6482366905,51361.5544597239,51487.052966956675,51533.521758681454,51644.60444849608,51644.333561765445,51703.4542806253,51803.167902164416,51826.646844602066,51876.67187372499,51771.59954307484,51919.36132146051,52031.25713699161,52249.46492856792,52405.56041432369,52560.90402619144,52715.61787647681,52769.01465042267,52784.01762826372,52752.933442772686,52859.035372085214,53001.09160995307,53224.62400293991,53452.381328470416,53278.23719686759,52924.38305239138,52589.664377222616,52565.51237464804,52665.91725764876,52813.3121221433,53051.00516798111,53282.109408619544,53456.33715428109,53643.777633208716,53740.43558872719,53989.77108671604,54436.39657866793,55167.581178604116,56019.019371025344,56809.41929360311,57596.70908246189,58248.40143029385,58738.67188176653,59143.35675948819,59515.78202171362,59849.33855170868,60253.82026673364,60562.4658318693,60992.89889214534,61242.61137359064,61546.787246425476,61732.14058349956,61860.95330055268,61942.29293579432,61986.198774974815,62064.96904042782,62203.31032316722,62431.713696477105,62681.69037909681,62977.63590774168,63066.547458031724,63225.405298067664,63305.10966153619,63367.285745875975,63348.049563525834,63302.233545337614,63359.64514364008,63462.54045663979,63595.009286199565,63726.47341660498,63783.639243457306,63735.987467723025,63854.34789328734,64031.57882146986,64327.714858814536,64421.07070530195,64555.210105070015,64642.36255687607,64813.157678511336,64899.66940090036,64971.3803493291,64987.35868061608,65020.41554290959,65108.14178582315,65120.79302320496,65066.30450184004,64929.52236268922,64964.895086888224,65000.8369354164,65077.19266060483,65032.10041379348,65002.91638922019
395209,6,"Washington, DC",msa,VA,67667.36794167449,67844.76007734293,68021.92170767469,68115.96809152832,68206.69347904038,68249.86840655799,68297.52920190395,68300.97314097613,68479.94487151974,68657.69573550485,68905.33005602304,69006.68452002485,69106.85541815244,69111.93013650113,69160.22588884289,69188.22435141481,69280.88102488959,69349.23188493241,69479.41347817074,69647.63291192443,69721.05320022974,69822.62678563986,69860.7650889116,70018.38180435149,70201.20267482972,70524.90149583346,70750.39163472416,70914.12289416612,70951.68233764218,71074.4262796745,71147.596792035,71236.99980356976,71391.73457880554,71545.26504438477,71623.37234624897,71675.70279834664,71731.17310552594,71830.04002402375,72021.07627138877,72235.34662476623,72450.69362255085,72646.70570128475,72834.89968550652,73118.42119638539,73166.3003543615,73405.87907089392,73721.61173151615,74079.06708472467,74216.74984864902,74325.06766113912,74449.5717327055,74596.82706925111,74796.68014279492,74979.62805062062,75182.33009664922,75297.96339634652,75579.61014840445,75708.17086517744,75826.25549943378,75905.21285943767,76148.50274235409,76368.58029282323,76737.13932768193,76491.12350997905,76089.19580187363,75463.51002344493,75086.31877648561,74790.74376863237,74468.63995885829,74227.41562776521,73984.91096516867,73957.49937277104,74128.67900207565,74383.70099706229,74536.67841710638,74934.70279846908,75669.40806793283,76791.4225097246,77853.91979711884,78932.93700992133,79898.70389948002,80844.70342288131,81609.96431900305,82174.98577521116,82469.70888326831,82796.2507100598,83189.98803016414,83823.40789141676,84375.88482190491,84929.93107888164,85370.08084195598,85615.26287783658,85818.50784350302,85803.31575392777,85944.2856618935,86056.92311933184,86313.69024073669,86619.64536217143,87141.02933353737,87412.79032992612,87700.75854357582,87714.94563270235,87966.32881903742,88264.88721487694,88633.47268211268,89093.54511618007,89468.29927556198,89815.29976919937,90058.77281225387,90375.50163251907,90622.19551026152,90993.48407655193,91366.02266902463,91871.85400895549,92284.91882802939,92625.79161763721,92885.2752057384,93101.161346882,93350.66724920088,93689.66763834917,94051.2647805042,94283.10205948201,94411.73723984457,94470.59961436062,94489.77841388769,94492.50431625149,94438.35642088574,94416.64550408552,94390.03224974174,94349.93514663212,94247.71325408689
394974,7,"Philadelphia, PA",msa,PA,47896.93422216874,48017.30737195376,48282.442381261804,48386.851063226204,48503.68518734855,48537.67809358715,48675.29569781636,48773.92739884129,48919.628073695516,49042.41397203428,49066.78139764714,49126.519442196855,49128.932253238956,49321.19354235978,49387.61475592084,49557.185449914425,49675.173572354484,49916.12926043278,50026.21288709861,50130.581663388686,50184.90976143569,50287.814871891016,50502.46976899884,50666.38018678575,50841.03002731725,50928.52868627285,51068.92411610699,51192.891823475875,51282.13114150512,51293.64249749404,51394.54692508127,51541.82684488823,51732.7967316878,51868.662568403,51960.38454903908,52178.05354411404,52304.90644080186,52471.349690090756,52588.36958302201,52730.858188074526,52939.97482093456,53046.2888620524,53178.53452652643,53308.5424355943,53491.21327351057,53718.17736028683,53971.84735652137,54109.73324422738,54311.92694528881,54377.753046741236,54579.78792895386,54756.45018350753,54912.22190715694,55166.54892369375,55383.10205020869,55583.58385563537,55733.366383684915,55869.36108942247,55990.45587932418,56152.16766333462,56314.5071563913,56579.35009837009,56804.10961994442,56806.68959099148,56672.30491696829,56571.946539327866,56716.22556920532,56802.017179237366,56992.84674811759,57152.684198216135,57368.122209746994,57549.83631240087,57812.27692689788,58067.60286841139,58286.593514338,58744.93140002531,59422.98421139475,60139.13228206623,60765.25657551116,61458.51559003451,62032.84144905886,62653.790442798614,63199.28256556677,63944.201038771185,64443.38397224775,64860.97571881207,65165.44762903311,65560.28060265558,65907.64362541998,66307.0049408468,66617.33211479243,66823.6815779776,66973.06007759877,67020.69947730406,67165.43707759853,67189.60943784438,67407.69552385216,67518.40230872424,67899.93251090297,68134.78870418365,68407.25937176884,68467.83308347565,68613.26363046048,68821.41143434738,69122.8155544678,69385.1138362244,69541.8476497585,69597.71419058528,69694.50342352442,69965.35179450648,70270.89005929227,70590.61283819587,70834.2792230529,71065.14102920218,71141.73299059136,71306.98051048045,71463.55888212484,71757.40889115148,72059.80663839527,72430.48228759157,72712.61086109828,72920.48728513323,72980.12858238582,73066.63178035317,73189.39363885368,73408.78885823248,73721.4974340844,73945.74816197938,74136.1878562995,74247.04824463442,74373.43078651564
394856,8,"Miami, FL",msa,FL,58488.586696256745,58826.2452537345,59117.73944877401,59412.68655220406,59707.02292216394,59994.212247006195,60258.55241868446,60517.44140588822,60832.5161758573,61075.46601412887,61419.52574632325,61665.51552275567,61899.84661062137,62028.19019660113,62138.7503157317,62229.27757217383,62214.923146254514,62222.22849409043,62251.705510543645,62313.633601889116,62398.43580521048,62467.53178277845,62584.84725343889,62654.791270730086,62895.77215642159,63096.29225827298,63425.643367433506,63549.36279769195,63667.27059390596,63789.245146264904,63957.28431787027,64193.35559385959,64372.70593125206,64503.91298324599,64505.12791881712,64603.139693887926,64771.09722314473,64988.027609745746,65163.199019863365,65358.363725637566,65525.97068980443,65736.57126808487,65920.6720472369,66143.25213621782,66274.84306702556,66437.33423330245,66605.34799773454,66832.20899815216,66938.25800341912,66996.88458145817,67058.42172751391,67217.40613724157,67429.11600466559,67607.66803067653,67786.95076451538,67902.17537996423,68115.94488136536,68341.0977219404,68621.53009710737,68830.7336992668,69075.27514838915,69356.39805859856,69485.49135392327,69346.54286870186,69047.94778255436,68931.47279825459,68934.57070976087,69027.66014927218,69193.11539078799,69687.6766830311,70322.08930610909,70952.62013400794,71701.40867618602,72735.07180051233,73941.52981600988,75354.10027593179,76992.37622660486,78975.96103086768,81383.45174052182,83854.92140277602,86152.7175935444,87936.75477506181,89705.78237955958,91593.60575769044,93433.89452731925,94862.24464217607,96254.31616530029,97743.25838005649,99182.52491410138,100130.82699362822,100588.84338473537,100770.01728566145,101008.85422781845,101244.81346055985,101566.66607788952,101847.28601145744,102088.57907965084,102269.60644602793,102435.61792623722,102569.97860968344,102743.78959786368,102847.23632549043,102865.24677372715,102961.37245625508,103092.87557864397,103496.54071489259,103668.94842067045,103694.46831365967,103723.44330375663,103963.40693827096,104241.18029944213,104461.7385504815,104548.67161456327,104707.51475274874,104899.63936592346,105115.36331901571,105357.09358866083,105459.56691040742,105560.95815519232,105786.05800721543,105980.6155908974,106069.67176795326,106088.01892325428,106089.78945808548,106131.84036211488,106198.4273185951,106321.3543559848,106398.56736805267,106390.01221400451,106331.83042972854,106327.75517868769
394347,9,"Atlanta, GA",msa,GA,39863.09212193109,40044.81530005966,40152.06633209578,40385.403386541926,40545.951171363246,40823.874778277925,40986.02939411076,41172.02642329308,41362.81852886681,41581.5601073954,41764.187477638094,41976.224442589264,42167.93600079349,42394.45409915591,42590.633002642775,42719.39077186347,42890.60224315288,43063.558280922094,43326.22284016741,43561.741744079896,43768.05302215495,43980.40243578218,44151.33580882975,44322.73352470997,44529.29905586227,44779.3361983093,45089.21898764074,45374.704218097395,45669.434509873536,45927.104038109675,46212.288054604556,46440.25876253078,46716.86497524344,46807.412716612744,47045.556347514605,47219.98467859413,47531.63200217221,47779.43812137375,48029.86328796664,48288.00795466239,48528.67640937817,48743.45866753722,48966.07136382866,49160.438801700686,49342.134053714835,49779.80494150323,50174.14540871457,50535.602751260485,50723.88663916988,50912.93249658592,51123.373145195816,51348.03640608779,51573.368656227605,51832.034496790606,52049.79606006432,52319.77394869249,52573.65739614355,52710.4342605546,52807.232709091455,52954.92864312731,53151.17846451097,53360.8024674826,53630.00927583447,53703.4415171005,53708.52466469359,53745.86436585074,54042.36139673579,54363.718774645444,54724.31567463874,55142.41619758456,55685.793884052284,56262.16114951312,56974.4617243596,57704.03923042127,58370.882557351826,59178.83065976635,60136.424016724486,61404.079356257986,62621.9631004042,63967.38669936836,65160.618365853494,66226.05863154444,66974.67938122498,67489.95102795177,67816.67590426559,68038.06658906554,68360.76166759495,68759.26754679531,69272.5066369331,69711.7209631358,70112.97475100907,70282.60275395922,70351.55648509854,70307.69897445568,70364.24781366483,70538.67777073102,70610.99401543198,70741.84384200271,71055.41967263172,71238.12762636355,71312.18850881624,71057.5855532669,70910.3516590029,70719.91013252725,70591.25272613367,70512.24724915593,70506.25817729025,70513.80586813994,70635.28794507169,70762.41045957073,70745.79667008383,70786.95242414338,70880.59404037468,71079.185582825,71122.20452294043,71111.54290039382,71216.16796601575,71366.61267776361,71609.67375824366,71738.23402554894,71853.19673211545,71949.38806675664,72045.87113836553,72139.40889606833,72218.84421119727,72382.41819629856,72630.37990242515,72986.2758706107,73253.62050021745,73493.43274632277,73623.64021310103
